road_point_id,lat,lon,road_name,city,total_sewer_length,old_sewer_length,sewer_old30_ratio,average_sewer_age,sewer_match_status,has_nearby_repair,repair_id,last_repair_date,repair_type,distance_to_last_repair_m,nearby_repair_count,point_id,traffic_station_id,traffic_route,traffic_section,traffic_distance_m,traffic_esal,total_traffic,heavy_vehicle_ratio,traffic_match_type,traffic_score,sewer_score,date,freeze_thaw_14d,freeze_score,rain_7d,rain_14d,rain_score,repair_adjustment,freeze_contribution,rain_contribution,sewer_contribution,traffic_contribution,base_risk_score,risk_score,risk_level,main_risk_factor,risk_reason,rule_based_risk_score,rule_based_risk_level,rule_based_risk_reason,has_past_repair,latest_repair_id,latest_repair_date,latest_repair_distance_m,days_since_last_repair,logistic_score,contribution_freeze_thaw_14d,contribution_rain_7d,contribution_rain_14d,contribution_sewer_old30_ratio,contribution_traffic_esal,contribution_has_past_repair,contribution_days_since_last_repair,risk_percentile,risk_rank_group
R00154,35.967652,126.739072,군산 데모도로,군산시,1384801.76,612246.21,0.442118307244208,14.853572251212228,matched,1,F0011,2024-03-26,임시보수,284.1412180574434,1,153,2914-00,국도29호선,개정면-성산면(2914-00),3285.9514385123416,3290.9867000000004,15555.0,0.0942109404788128,city_median,79.4299920661839,44.2118307244208,2025-12-31,13.0,100.0,9.050000000000008,17.75,17.960000000000008,-2.0,35.0,4.490000000000002,8.84236614488416,15.88599841323678,64.21836455812094,99.70588235294117,매우 위험,보수 후 경과기간,"Logistic 위험순위 상위 0.3% | 주요 증가요인=보수 후 경과기간 | 동결융해 14일 13회 | 7일 강수 9.1mm | 14일 강수 17.8mm | 하수관 노후비율 44.2% | ESAL 3291.0 (도시 중앙값) | 최근 보수 645일 전 / 거리 284m | 모델기여도[동결융해=+0.696, 7일 누적강수=-0.085, 14일 누적강수=+0.099, 하수관로 노후도=-0.007, 교통하중=+0.007, 과거 보수이력=+1.214, 보수 후 경과기간=+1.299]",62.21836455812094,위험,"주요원인=동결융해 | 동결융해=100.0점 (14일 13회) | 누적강수=18.0점 (7일 9.1mm, 14일 17.8mm) | 하수관로 노후도=44.2점 (30년 이상 비율 44.2%) | 교통하중=79.4점 (ESAL 3291.0, 도시 중앙값 적용) | 최근보수=645일 전 (284m, 보정 -2점)",1,F0011,2024-03-26,284.1412180574434,645.0,0.953226352616221,0.696248318989472,-0.08492964696704859,0.09850479154862715,-0.007391001686411909,0.007281250748113266,1.2142911181258602,1.2994385038814298,99.70588235294117,상위 1%
R00153,35.96705,126.73437,군산 데모도로,군산시,1384801.76,612246.21,0.442118307244208,14.853572251212228,matched,1,F0011,2024-03-26,임시보수,271.61629231644616,1,152,2914-00,국도29호선,개정면-성산면(2914-00),3695.678402945297,3290.9867000000004,15555.0,0.0942109404788128,city_median,79.4299920661839,44.2118307244208,2025-12-31,13.0,100.0,9.050000000000008,17.75,17.960000000000008,-2.0,35.0,4.490000000000002,8.84236614488416,15.88599841323678,64.21836455812094,99.70588235294117,매우 위험,보수 후 경과기간,"Logistic 위험순위 상위 0.3% | 주요 증가요인=보수 후 경과기간 | 동결융해 14일 13회 | 7일 강수 9.1mm | 14일 강수 17.8mm | 하수관 노후비율 44.2% | ESAL 3291.0 (도시 중앙값) | 최근 보수 645일 전 / 거리 272m | 모델기여도[동결융해=+0.696, 7일 누적강수=-0.085, 14일 누적강수=+0.099, 하수관로 노후도=-0.007, 교통하중=+0.007, 과거 보수이력=+1.214, 보수 후 경과기간=+1.299]",62.21836455812094,위험,"주요원인=동결융해 | 동결융해=100.0점 (14일 13회) | 누적강수=18.0점 (7일 9.1mm, 14일 17.8mm) | 하수관로 노후도=44.2점 (30년 이상 비율 44.2%) | 교통하중=79.4점 (ESAL 3291.0, 도시 중앙값 적용) | 최근보수=645일 전 (272m, 보정 -2점)",1,F0011,2024-03-26,271.61629231644616,645.0,0.953226352616221,0.696248318989472,-0.08492964696704859,0.09850479154862715,-0.007391001686411909,0.007281250748113266,1.2142911181258602,1.2994385038814298,99.70588235294117,상위 1%
R00187,35.965956,126.734873,군산 데모도로,군산시,1384801.76,612246.21,0.442118307244208,14.853572251212228,matched,1,F0011,2024-03-26,임시보수,187.10632243644343,1,186,2914-00,국도29호선,개정면-성산면(2914-00),3708.2744962948095,3290.9867000000004,15555.0,0.0942109404788128,city_median,79.4299920661839,44.2118307244208,2025-12-31,13.0,100.0,9.050000000000008,17.75,17.960000000000008,-2.0,35.0,4.490000000000002,8.84236614488416,15.88599841323678,64.21836455812094,99.70588235294117,매우 위험,보수 후 경과기간,"Logistic 위험순위 상위 0.3% | 주요 증가요인=보수 후 경과기간 | 동결융해 14일 13회 | 7일 강수 9.1mm | 14일 강수 17.8mm | 하수관 노후비율 44.2% | ESAL 3291.0 (도시 중앙값) | 최근 보수 645일 전 / 거리 187m | 모델기여도[동결융해=+0.696, 7일 누적강수=-0.085, 14일 누적강수=+0.099, 하수관로 노후도=-0.007, 교통하중=+0.007, 과거 보수이력=+1.214, 보수 후 경과기간=+1.299]",62.21836455812094,위험,"주요원인=동결융해 | 동결융해=100.0점 (14일 13회) | 누적강수=18.0점 (7일 9.1mm, 14일 17.8mm) | 하수관로 노후도=44.2점 (30년 이상 비율 44.2%) | 교통하중=79.4점 (ESAL 3291.0, 도시 중앙값 적용) | 최근보수=645일 전 (187m, 보정 -2점)",1,F0011,2024-03-26,187.10632243644346,645.0,0.953226352616221,0.696248318989472,-0.08492964696704859,0.09850479154862715,-0.007391001686411909,0.007281250748113266,1.2142911181258602,1.2994385038814298,99.70588235294117,상위 1%
R00221,35.96474,126.737245,군산 데모도로,군산시,1384801.76,612246.21,0.442118307244208,14.853572251212228,matched,1,F0011,2024-03-26,임시보수,117.57902927230556,1,220,2914-00,국도29호선,개정면-성산면(2914-00),3585.963749851004,3290.9867000000004,15555.0,0.0942109404788128,city_median,79.4299920661839,44.2118307244208,2025-12-31,13.0,100.0,9.050000000000008,17.75,17.960000000000008,-2.0,35.0,4.490000000000002,8.84236614488416,15.88599841323678,64.21836455812094,99.70588235294117,매우 위험,보수 후 경과기간,"Logistic 위험순위 상위 0.3% | 주요 증가요인=보수 후 경과기간 | 동결융해 14일 13회 | 7일 강수 9.1mm | 14일 강수 17.8mm | 하수관 노후비율 44.2% | ESAL 3291.0 (도시 중앙값) | 최근 보수 645일 전 / 거리 118m | 모델기여도[동결융해=+0.696, 7일 누적강수=-0.085, 14일 누적강수=+0.099, 하수관로 노후도=-0.007, 교통하중=+0.007, 과거 보수이력=+1.214, 보수 후 경과기간=+1.299]",62.21836455812094,위험,"주요원인=동결융해 | 동결융해=100.0점 (14일 13회) | 누적강수=18.0점 (7일 9.1mm, 14일 17.8mm) | 하수관로 노후도=44.2점 (30년 이상 비율 44.2%) | 교통하중=79.4점 (ESAL 3291.0, 도시 중앙값 적용) | 최근보수=645일 전 (118m, 보정 -2점)",1,F0011,2024-03-26,117.57902927230556,645.0,0.953226352616221,0.696248318989472,-0.08492964696704859,0.09850479154862715,-0.007391001686411909,0.007281250748113266,1.2142911181258602,1.2994385038814298,99.70588235294117,상위 1%
R00255,35.965179,126.738767,군산 데모도로,군산시,1384801.76,612246.21,0.442118307244208,14.853572251212228,matched,1,F0011,2024-03-26,임시보수,177.07354209606078,1,254,2914-00,국도29호선,개정면-성산면(2914-00),3443.250222568696,3290.9867000000004,15555.0,0.0942109404788128,city_median,79.4299920661839,44.2118307244208,2025-12-31,13.0,100.0,9.050000000000008,17.75,17.960000000000008,-2.0,35.0,4.490000000000002,8.84236614488416,15.88599841323678,64.21836455812094,99.70588235294117,매우 위험,보수 후 경과기간,"Logistic 위험순위 상위 0.3% | 주요 증가요인=보수 후 경과기간 | 동결융해 14일 13회 | 7일 강수 9.1mm | 14일 강수 17.8mm | 하수관 노후비율 44.2% | ESAL 3291.0 (도시 중앙값) | 최근 보수 645일 전 / 거리 177m | 모델기여도[동결융해=+0.696, 7일 누적강수=-0.085, 14일 누적강수=+0.099, 하수관로 노후도=-0.007, 교통하중=+0.007, 과거 보수이력=+1.214, 보수 후 경과기간=+1.299]",62.21836455812094,위험,"주요원인=동결융해 | 동결융해=100.0점 (14일 13회) | 누적강수=18.0점 (7일 9.1mm, 14일 17.8mm) | 하수관로 노후도=44.2점 (30년 이상 비율 44.2%) | 교통하중=79.4점 (ESAL 3291.0, 도시 중앙값 적용) | 최근보수=645일 전 (177m, 보정 -2점)",1,F0011,2024-03-26,177.07354209606078,645.0,0.953226352616221,0.696248318989472,-0.08492964696704859,0.09850479154862715,-0.007391001686411909,0.007281250748113266,1.2142911181258602,1.2994385038814298,99.70588235294117,상위 1%
R00559,35.568964,126.84381,정읍 데모도로,정읍시,845508.0,326882.92,0.3866112680187532,9.4307279162049,matched,1,F0021,2024-02-23,덧씌우기,46.37641616568677,1,558,2101-13,국도21호선,쌍치면-정읍시(2101-13),4130.098484290938,1150.0363,9688.5,0.0338430466812314,city_median,61.41042297962357,38.66112680187532,2025-12-31,13.0,100.0,0.0,8.97,3.5880000000000005,-2.0,35.0,0.8970000000000001,7.732225360375065,12.282084595924715,55.911309956299775,99.26470588235294,매우 위험,보수 후 경과기간,"Logistic 위험순위 상위 0.7% | 주요 증가요인=보수 후 경과기간 | 동결융해 14일 13회 | 7일 강수 0.0mm | 14일 강수 9.0mm | 하수관 노후비율 38.7% | ESAL 1150.0 (도시 중앙값) | 최근 보수 677일 전 / 거리 46m | 모델기여도[동결융해=+0.696, 7일 누적강수=-0.264, 14일 누적강수=+0.198, 하수관로 노후도=+0.003, 교통하중=-0.003, 과거 보수이력=+1.214, 보수 후 경과기간=+1.365]",53.911309956299775,주의,"주요원인=동결융해 | 동결융해=100.0점 (14일 13회) | 누적강수=3.6점 (7일 0.0mm, 14일 9.0mm) | 하수관로 노후도=38.7점 (30년 이상 비율 38.7%) | 교통하중=61.4점 (ESAL 1150.0, 도시 중앙값 적용) | 최근보수=677일 전 (46m, 보정 -2점)",1,F0021,2024-02-23,46.37641616568677,677.0,0.9525978723841154,0.696248318989472,-0.2641455745468213,0.19750546345590905,0.0034172125813376917,-0.0026691807566838026,1.2142911181258602,1.3647892804926693,99.26470588235294,상위 1%
R00591,35.555235,126.840653,정읍 데모도로,정읍시,845508.0,326882.92,0.3866112680187532,9.4307279162049,matched,1,F0029,2024-03-20,덧씌우기,30.622025103564173,1,590,2101-13,국도21호선,쌍치면-정읍시(2101-13),3771.666934683203,1150.0363,9688.5,0.0338430466812314,city_median,61.41042297962357,38.66112680187532,2025-12-31,13.0,100.0,0.0,8.97,3.5880000000000005,-2.0,35.0,0.8970000000000001,7.732225360375065,12.282084595924715,55.911309956299775,99.11764705882354,매우 위험,보수 후 경과기간,"Logistic 위험순위 상위 0.9% | 주요 증가요인=보수 후 경과기간 | 동결융해 14일 13회 | 7일 강수 0.0mm | 14일 강수 9.0mm | 하수관 노후비율 38.7% | ESAL 1150.0 (도시 중앙값) | 최근 보수 651일 전 / 거리 31m | 모델기여도[동결융해=+0.696, 7일 누적강수=-0.264, 14일 누적강수=+0.198, 하수관로 노후도=+0.003, 교통하중=-0.003, 과거 보수이력=+1.214, 보수 후 경과기간=+1.312]",53.911309956299775,주의,"주요원인=동결융해 | 동결융해=100.0점 (14일 13회) | 누적강수=3.6점 (7일 0.0mm, 14일 9.0mm) | 하수관로 노후도=38.7점 (30년 이상 비율 38.7%) | 교통하중=61.4점 (ESAL 1150.0, 도시 중앙값 적용) | 최근보수=651일 전 (31m, 보정 -2점)",1,F0029,2024-03-20,30.622025103564173,651.0,0.9501417987932743,0.696248318989472,-0.2641455745468213,0.19750546345590905,0.0034172125813376917,-0.0026691807566838026,1.2142911181258602,1.3116917744960372,99.11764705882354,상위 1%
R00660,35.557868,126.868173,정읍 데모도로,정읍시,845508.0,326882.92,0.3866112680187532,9.4307279162049,matched,1,F0078,2024-04-02,상온아스콘,104.19575292623712,1,659,2101-13,국도21호선,쌍치면-정읍시(2101-13),1634.0206125717448,264.4052,7479.0,0.0113651557694878,nearest_station,36.251614245274666,38.66112680187532,2025-12-31,13.0,100.0,0.0,8.97,3.5880000000000005,-2.0,35.0,0.8970000000000001,7.732225360375065,7.250322849054934,50.87954820942999,98.97058823529412,위험,보수 후 경과기간,"Logistic 위험순위 상위 1.0% | 주요 증가요인=보수 후 경과기간 | 동결융해 14일 13회 | 7일 강수 0.0mm | 14일 강수 9.0mm | 하수관 노후비율 38.7% | ESAL 264.4 (실제 조사점 1.6km) | 최근 보수 638일 전 / 거리 104m | 모델기여도[동결융해=+0.696, 7일 누적강수=-0.264, 14일 누적강수=+0.198, 하수관로 노후도=+0.003, 교통하중=-0.007, 과거 보수이력=+1.214, 보수 후 경과기간=+1.285]",48.87954820942999,주의,"주요원인=동결융해 | 동결융해=100.0점 (14일 13회) | 누적강수=3.6점 (7일 0.0mm, 14일 9.0mm) | 하수관로 노후도=38.7점 (30년 이상 비율 38.7%) | 교통하중=36.3점 (ESAL 264.4, 1.6km 이내 실제 조사점 적용) | 최근보수=638일 전 (104m, 보정 -2점)",1,F0078,2024-04-02,104.19575292623712,638.0,0.9486689157094509,0.696248318989472,-0.2641455745468213,0.19750546345590905,0.0034172125813376917,-0.00678530208255295,1.2142911181258602,1.2851430214977213,98.97058823529412,상위 1~5%
R00618,35.514389,126.856841,정읍 데모도로,정읍시,845508.0,326882.92,0.3866112680187532,9.4307279162049,matched,1,F0014,2024-04-09,상온아스콘,40.01655283658238,2,617,2101-13,국도21호선,쌍치면-정읍시(2101-13),4325.848634744519,1150.0363,9688.5,0.0338430466812314,city_median,61.41042297962357,38.66112680187532,2025-12-31,13.0,100.0,0.0,8.97,3.5880000000000005,-2.0,35.0,0.8970000000000001,7.732225360375065,12.282084595924715,55.911309956299775,98.82352941176471,위험,보수 후 경과기간,"Logistic 위험순위 상위 1.2% | 주요 증가요인=보수 후 경과기간 | 동결융해 14일 13회 | 7일 강수 0.0mm | 14일 강수 9.0mm | 하수관 노후비율 38.7% | ESAL 1150.0 (도시 중앙값) | 최근 보수 631일 전 / 거리 40m | 모델기여도[동결융해=+0.696, 7일 누적강수=-0.264, 14일 누적강수=+0.198, 하수관로 노후도=+0.003, 교통하중=-0.003, 과거 보수이력=+1.214, 보수 후 경과기간=+1.271]",53.911309956299775,주의,"주요원인=동결융해 | 동결융해=100.0점 (14일 13회) | 누적강수=3.6점 (7일 0.0mm, 14일 9.0mm) | 하수관로 노후도=38.7점 (30년 이상 비율 38.7%) | 교통하중=61.4점 (ESAL 1150.0, 도시 중앙값 적용) | 최근보수=631일 전 (40m, 보정 -2점)",1,F0014,2024-04-09,40.01655283658238,631.0,0.9481709494730048,0.696248318989472,-0.2641455745468213,0.19750546345590905,0.0034172125813376917,-0.0026691807566838026,1.2142911181258602,1.2708475391140124,98.82352941176471,상위 1~5%
R00224,35.980116,126.737311,군산 데모도로,군산시,1384801.76,612246.21,0.442118307244208,14.853572251212228,matched,1,F0062,2024-05-21,상온아스콘,46.28867242259897,2,223,2914-00,국도29호선,개정면-성산면(2914-00),3087.210117880671,3290.9867000000004,15555.0,0.0942109404788128,city_median,79.4299920661839,44.2118307244208,2025-12-31,13.0,100.0,9.050000000000008,17.75,17.960000000000008,-2.0,35.0,4.490000000000002,8.84236614488416,15.88599841323678,64.21836455812094,98.6764705882353,위험,과거 보수이력,"Logistic 위험순위 상위 1.3% | 주요 증가요인=과거 보수이력 | 동결융해 14일 13회 | 7일 강수 9.1mm | 14일 강수 17.8mm | 하수관 노후비율 44.2% | ESAL 3291.0 (도시 중앙값) | 최근 보수 589일 전 / 거리 46m | 모델기여도[동결융해=+0.696, 7일 누적강수=-0.085, 14일 누적강수=+0.099, 하수관로 노후도=-0.007, 교통하중=+0.007, 과거 보수이력=+1.214, 보수 후 경과기간=+1.185]",62.21836455812094,위험,"주요원인=동결융해 | 동결융해=100.0점 (14일 13회) | 누적강수=18.0점 (7일 9.1mm, 14일 17.8mm) | 하수관로 노후도=44.2점 (30년 이상 비율 44.2%) | 교통하중=79.4점 (ESAL 3291.0, 도시 중앙값 적용) | 최근보수=589일 전 (46m, 보정 -2점)",1,F0062,2024-05-21,46.28867242259897,589.0,0.9478547697049022,0.696248318989472,-0.08492964696704859,0.09850479154862715,-0.007391001686411909,0.007281250748113266,1.2142911181258602,1.1850746448117606,98.6764705882353,상위 1~5%
R00406,35.997527,126.907476,익산 데모도로,익산시,1404068.0,1069912.0,0.7620086776423934,10.189728749446369,matched,1,F0012,2024-01-19,임시보수,16.87355486376633,1,405,2711-00,국도27호선,익산시-성산면(2711-00),2820.7823616403225,1862.3388,20572.0,0.0407835893447404,nearest_station,69.67072113572632,76.20086776423935,2025-12-31,12.0,100.0,3.429999999999993,17.97,11.303999999999991,-2.0,35.0,2.825999999999998,15.240173552847873,13.934144227145266,67.00031777999314,98.52941176470588,위험,보수 후 경과기간,"Logistic 위험순위 상위 1.5% | 주요 증가요인=보수 후 경과기간 | 동결융해 14일 12회 | 7일 강수 3.4mm | 14일 강수 18.0mm | 하수관 노후비율 76.2% | ESAL 1862.3 (실제 조사점 2.8km) | 최근 보수 712일 전 / 거리 17m | 모델기여도[동결융해=+0.620, 7일 누적강수=-0.196, 14일 누적강수=+0.096, 하수관로 노후도=-0.070, 교통하중=+0.001, 과거 보수이력=+1.214, 보수 후 경과기간=+1.436]",65.00031777999314,위험,"주요원인=동결융해 | 동결융해=100.0점 (14일 12회) | 누적강수=11.3점 (7일 3.4mm, 14일 18.0mm) | 하수관로 노후도=76.2점 (30년 이상 비율 76.2%) | 교통하중=69.7점 (ESAL 1862.3, 2.8km 이내 실제 조사점 적용) | 최근보수=712일 전 (17m, 보정 -2점)",1,F0012,2024-01-19,16.87355486376633,712.0,0.9474550953912155,0.6197001285313087,-0.19622174785084137,0.09602413689946974,-0.06967938373125776,0.0006413663895488769,1.2142911181258602,1.4362666924112126,98.52941176470588,상위 1~5%
