grid_id,lanes,road_rank,road_type,road_link_distance_m
22861_7981,1,103,0,0.0
22895_8066,2,103,0,2.7298498316383575e-12
23019_7902,1,103,0,3.696503889863677e-12
23091_7990,1,106,0,6.471030101704104e-12
22872_8006,3,103,0,7.202150438633321e-12
23032_7994,1,103,0,7.878567710396699e-12
23032_7942,1,103,0,1.1681086451435259e-11
22980_7914,1,106,0,1.1735305126356049e-11
22989_7993,1,105,0,1.3477735507354319e-11
22934_8059,1,106,0,1.5705841484987528e-11
22908_7872,1,106,0,1.6344550762920662e-11
22863_7903,2,103,0,1.7566660264348653e-11
22999_7840,1,103,0,1.7836878879727976e-11
23100_7987,1,103,0,1.9926050659925756e-11
22942_7894,1,103,0,2.2884524650123e-11
22958_8044,1,105,0,2.3917357723091848e-11
22949_8062,1,106,0,2.399368086874543e-11
22994_7885,2,101,0,2.4070271123269963e-11
23038_7908,1,106,0,2.4243267160051194e-11
22872_8002,3,103,0,2.7308239870999153e-11
22909_7975,2,103,0,2.763635708205144e-11
22960_7874,1,106,0,2.836654820321513e-11
22907_7914,2,106,0,2.8551109473810365e-11
22879_7980,1,106,0,3.002020775933404e-11
22933_7993,2,103,0,3.200138948660786e-11
22850_7883,1,105,0,3.6251528342611884e-11
22932_7898,1,103,0,3.630978228901173e-11
22978_7912,1,106,0,3.678428127080505e-11
22886_7941,1,106,0,3.760380450511693e-11
22901_8021,1,106,0,4.120609658241342e-11
22939_7920,1,106,0,4.252103667976184e-11
22968_7968,2,103,0,4.33331704657138e-11
23036_7946,1,103,0,4.39568402038128e-11
22985_8067,1,104,0,4.404458046486303e-11
22954_7874,2,101,0,4.4418858784677494e-11
23004_7943,1,106,0,4.6033549284511236e-11
22972_7922,1,103,0,4.8878902080145616e-11
22907_8044,1,103,0,5.2653676668551026e-11
23080_8027,1,105,0,5.3205275385761775e-11
22993_7909,2,103,0,5.455408731494836e-11
22867_7858,1,106,0,5.499423995955448e-11
23098_7940,2,106,0,5.6635027879845673e-11
22988_7906,2,101,0,5.698667643322307e-11
23071_7924,1,103,0,5.793025941442274e-11
22942_7845,1,106,0,5.8162739363195155e-11
23083_7891,1,105,0,5.942445837527506e-11
23098_7963,2,103,0,6.277629066088052e-11
22932_8018,1,106,0,6.459275170369323e-11
22974_8013,2,103,0,6.505644150210733e-11
22981_7923,1,106,0,7.282194137406651e-11
23082_7890,1,105,0,7.324860895865975e-11
23079_8051,2,103,0,7.354409287634713e-11
22900_7852,1,103,0,7.98305212620601e-11
23054_8033,2,103,0,8.055531072298369e-11
22878_8055,2,103,0,8.128279976553227e-11
22835_7846,1,106,0,8.15754543610092e-11
23027_7940,1,103,0,8.211245855371093e-11
23037_7952,2,101,0,8.378364631214135e-11
22841_7905,1,103,0,8.433200714833005e-11
22953_7970,2,106,0,8.543400311466378e-11
22983_7872,1,106,0,8.580728743545782e-11
22906_8000,2,103,0,8.612889836820426e-11
22917_7958,1,106,0,8.636877857394939e-11
23038_7900,1,101,0,8.780864283128054e-11
22990_7922,2,103,0,8.816516849465683e-11
22840_7929,2,103,0,8.956702372954779e-11
22994_7953,1,105,0,9.107380043085827e-11
22876_8017,2,105,0,9.21923686915525e-11
22938_8033,1,106,0,9.238027207375989e-11
22984_7948,1,106,3,9.255420934229623e-11
22994_7951,1,105,0,9.299996920282389e-11
23008_7856,2,103,0,9.307643325115592e-11
22900_8036,1,103,0,9.677735237587325e-11
23094_8004,1,103,0,9.707743684970169e-11
23058_8054,1,106,0,9.745062160327019e-11
22946_7933,2,105,0,9.818059289842904e-11
23079_7972,1,106,0,9.854782898310412e-11
22996_7875,1,106,0,9.876549218401626e-11
22988_7982,2,103,0,9.992936706087397e-11
23065_8019,1,103,0,1.011627870427045e-10
22990_7884,1,106,0,1.0511234497125399e-10
22944_7909,1,106,0,1.0637565194724845e-10
23045_7908,1,105,0,1.1062245240464243e-10
22931_7889,1,103,0,1.1297114446027186e-10
23073_7930,1,103,0,1.152309379329877e-10
23057_7988,1,106,0,1.1536373902372347e-10
23092_8005,1,103,0,1.167733123062008e-10
23078_7838,1,106,0,1.223303912587327e-10
22951_8004,4,101,0,1.2480613327529743e-10
22991_8050,1,105,0,1.2511291641892355e-10
22925_7901,1,103,0,1.287142950126617e-10
23025_8065,1,106,0,1.306653330031457e-10
22953_7883,1,106,0,1.3170473977920052e-10
23037_7996,1,106,0,1.3181078409303215e-10
22865_7966,1,106,0,1.3193994255076693e-10
22966_8052,1,105,0,1.3304474897137413e-10
22936_8024,1,106,0,1.340736484993164e-10
22849_7976,2,103,0,1.3407951312095222e-10
22925_7963,1,106,0,1.367394403330766e-10
23033_7893,1,103,0,1.3760273756230698e-10
23070_7907,2,106,0,1.3965175344354265e-10
22939_7866,2,103,4,1.4023761140541486e-10
23041_7961,1,103,0,1.4323930898950222e-10
22959_7897,2,103,0,1.4697661657256098e-10
22931_7901,1,103,0,1.496346481351885e-10
22978_7879,1,103,0,1.502013280267465e-10
23021_7876,1,105,0,1.510195635377616e-10
23014_7983,1,105,0,1.5677804280718874e-10
22952_8020,1,106,0,1.5915279774419353e-10
23038_8019,2,101,0,1.6098048058636516e-10
23104_7858,2,101,0,1.637312467422075e-10
22851_7922,1,103,0,1.6630779456803294e-10
23074_7930,1,103,0,1.674258536790932e-10
22969_7886,1,103,0,1.67509340162806e-10
22913_7972,3,107,0,1.6835450789631496e-10
22959_7870,2,103,0,1.6976463936339703e-10
22885_7977,1,106,0,1.7859934732662532e-10
22924_7839,1,104,0,1.7887841126332326e-10
22925_7917,1,105,0,1.7918919583335418e-10
22927_7891,1,106,0,1.8008168139996586e-10
23069_7920,2,101,0,1.8060640656103382e-10
22903_7909,2,103,0,1.8313461454244287e-10
22935_8046,2,105,3,1.8450128815366454e-10
22915_7955,1,106,0,1.8505734340347107e-10
22956_7877,2,103,0,1.868338102234192e-10
23005_8050,1,103,0,1.8737811170260285e-10
23050_8036,1,106,0,1.8856820435603092e-10
22969_7966,2,101,0,1.8894666586487752e-10
22893_8028,1,103,0,1.895754559226121e-10
22866_7998,1,103,0,1.8991710153160874e-10
23032_8030,2,101,3,1.904121383262996e-10
23078_7930,2,103,0,1.9305449561702833e-10
22987_7937,2,101,0,1.9364018152499022e-10
22950_7880,1,105,0,1.9463090223254513e-10
22957_7880,1,106,0,1.94985873009748e-10
23029_7941,2,103,4,1.9659692817621225e-10
22974_7929,1,106,0,1.9886139898604842e-10
22917_7986,2,103,0,1.9926409065159694e-10
22906_7925,2,101,0,2.0392991829044036e-10
22884_7849,2,105,0,2.047375118085357e-10
22899_7890,1,103,0,2.0562032214206054e-10
22910_7979,2,101,0,2.0592461972910758e-10
23004_7941,1,106,0,2.0661652257428004e-10
22937_7966,1,106,0,2.1106888546809789e-10
22959_7984,3,103,0,2.1283192966295158e-10
22872_7865,1,106,0,2.1370315346023174e-10
22926_7862,2,103,0,2.1439731606055472e-10
22904_8000,2,103,0,2.144642773824246e-10
22933_8064,1,106,0,2.1722090567414054e-10
22900_7999,2,103,0,2.2461985401210936e-10
22950_7965,1,106,0,2.249551353818765e-10
22982_7928,1,106,0,2.2548898971153745e-10
23099_7855,1,106,0,2.2722198711926027e-10
23048_7974,1,103,0,2.2728092852032802e-10
23052_7991,2,101,0,2.2754431956955975e-10
23071_8005,1,103,0,2.292858606210145e-10
22974_7956,2,101,4,2.3146808841686014e-10
22910_8019,2,106,0,2.3337994234781456e-10
22978_8062,1,106,0,2.3418994535996554e-10
23007_7852,2,103,0,2.3435913048859404e-10
22981_7944,1,107,0,2.3453141897304864e-10
23015_8022,1,105,0,2.350468001730958e-10
22926_8020,1,106,0,2.3552944902847e-10
23061_7909,1,106,0,2.355946911399386e-10
22894_8010,1,106,0,2.370417301189509e-10
22830_7971,1,103,0,2.4048004942479e-10
22926_8038,2,103,0,2.4136582678450587e-10
23013_7841,2,101,4,2.461949433282545e-10
22971_8049,1,106,0,2.4622124508704656e-10
22893_8000,1,107,0,2.4797121326421883e-10
22989_7983,2,103,0,2.5295249019495594e-10
23013_7984,1,106,0,2.5324089349564715e-10
23010_7962,1,103,0,2.5531071226395196e-10
22960_8043,1,106,0,2.5551672546812364e-10
22936_7914,1,107,0,2.5755752000628384e-10
23087_8035,1,105,0,2.576864951422485e-10
22947_8001,3,101,0,2.634532731862657e-10
22915_8049,1,103,0,2.6613296580505334e-10
23099_8071,1,105,0,2.715078451642265e-10
22894_7890,1,105,0,2.7232469891546933e-10
23024_8043,2,101,0,2.7436649513938687e-10
22875_8020,1,106,0,2.7437510738712367e-10
22844_7962,2,103,0,2.7583192239441417e-10
22849_7938,1,106,0,2.7623224482936733e-10
22860_7889,1,106,0,2.8016286018440696e-10
23011_7924,1,103,0,2.8148279786486523e-10
23041_7955,1,101,0,2.826404097290071e-10
23084_7861,1,103,0,2.8268406483241426e-10
22909_7862,1,106,0,2.84878883559868e-10
23024_8036,2,103,0,2.851744720662253e-10
22955_7960,2,101,3,2.8927951060413477e-10
22932_7924,1,105,0,2.8941599857953855e-10
22923_7911,1,105,0,2.902711916263413e-10
22933_8062,1,107,0,2.9106053877882463e-10
22937_7918,1,103,0,2.915706088726632e-10
23074_7892,1,105,0,2.9196030552644587e-10
22870_8008,3,103,0,2.950028365296012e-10
22988_7853,1,106,0,2.980899306677978e-10
22898_7872,1,106,0,2.99710866205858e-10
23061_8054,1,106,0,3.005556901876399e-10
22991_8002,1,105,0,3.0084558971166536e-10
22841_7853,2,103,0,3.0256422547628635e-10
23009_7889,1,103,0,3.0334188395164554e-10
22877_7929,2,101,3,3.0353822112686463e-10
22982_8064,2,101,0,3.066279699994259e-10
22951_7928,1,106,0,3.0676720091116457e-10
23088_8045,1,105,0,3.0954708576009903e-10
22985_8064,1,106,0,3.1117105656363013e-10
22953_7863,1,106,0,3.1324781887222204e-10
22844_7878,1,103,0,3.1345059395129685e-10
23021_8054,2,101,0,3.1722126131602553e-10
22841_7892,1,103,0,3.17486406084619e-10
22891_7944,1,106,0,3.237690035417161e-10
22889_7952,2,101,0,3.2893158310833756e-10
23039_7950,2,101,0,3.334017395218557e-10
22936_8007,3,106,0,3.339770289186827e-10
22925_7939,1,103,0,3.361378640035339e-10
22859_7906,1,103,0,3.369484065485764e-10
23089_7887,1,101,0,3.370992002360682e-10
22898_7911,2,101,0,3.4162141405843096e-10
23005_7897,1,106,0,3.4186853354301996e-10
22963_7980,3,103,0,3.431927857277286e-10
23037_7992,2,103,0,3.484639451059255e-10
23074_7907,2,101,0,3.5341148665835725e-10
22888_7955,2,103,0,3.53933405792947e-10
22878_8030,2,103,0,3.548620274888059e-10
22981_7970,2,101,0,3.5616182794982615e-10
22954_7847,1,103,3,3.5798376132488034e-10
22953_7891,1,103,0,3.586659970263811e-10
23003_7888,2,101,0,3.5905746670223294e-10
22859_7908,1,103,0,3.6306640137246196e-10
22979_7910,1,106,0,3.6312548498265414e-10
23056_7938,2,101,0,3.6380473820561374e-10
22932_7953,1,106,0,3.7439379338146824e-10
22983_8010,1,106,0,3.751352804409472e-10
22863_8048,2,101,0,3.8247914236845193e-10
22939_8066,2,103,0,3.8315774521323846e-10
22872_8028,1,107,0,3.862605407494155e-10
23102_7941,1,103,0,3.864395699792542e-10
23087_7978,1,103,0,3.8818927675605906e-10
22861_8050,2,101,0,3.881999262199195e-10
23010_7858,2,103,0,3.892388923779116e-10
22995_7859,1,105,0,3.8925836717627224e-10
23070_7999,1,103,0,3.8936485484814795e-10
22915_7843,1,104,0,3.904688598413119e-10
23104_7893,1,106,0,3.9144074586702286e-10
22906_8031,1,106,0,3.918871095140668e-10
22953_8016,4,101,0,3.925349756790018e-10
22958_7934,1,106,0,3.937882558498576e-10
22929_8032,1,106,0,3.9412249825382674e-10
23059_8012,1,106,0,3.9531510263337707e-10
22823_7870,1,103,0,3.9856112186789024e-10
22905_7999,2,103,0,3.9881500034809806e-10
22974_7958,2,101,4,3.999363908722534e-10
22955_7927,2,103,4,4.008584026772504e-10
22869_7842,2,103,0,4.0591931411490075e-10
22997_7965,2,103,0,4.066345297486173e-10
22963_8046,1,105,0,4.070632874136759e-10
22948_8022,2,103,0,4.078377228446766e-10
22986_7871,1,106,0,4.0875173269287993e-10
22921_7894,1,105,0,4.102505563685633e-10
22999_8047,1,103,0,4.1161391465770915e-10
22941_7973,2,103,0,4.127860926567002e-10
23100_7896,1,103,0,4.1312675387707845e-10
23053_7943,2,101,0,4.1492845650233755e-10
22906_7980,2,101,0,4.1642002767195323e-10
23005_8045,1,106,0,4.1899257199485145e-10
22978_7908,1,106,0,4.1902847939794693e-10
23026_7951,1,106,0,4.1926795088862675e-10
23057_8053,1,106,0,4.194840889725988e-10
23013_7936,1,106,0,4.199522379101395e-10
23013_7972,2,103,0,4.212154142811419e-10
23046_8061,1,106,0,4.248026209654178e-10
22848_7851,2,101,4,4.2748811858248213e-10
22973_8016,1,106,0,4.2841109698465314e-10
22900_8034,1,103,0,4.295261286637343e-10
22883_8040,1,106,0,4.318327830040894e-10
22842_7923,1,103,0,4.3323085875643726e-10
23043_7979,1,106,0,4.3420696974956485e-10
23058_8047,1,106,0,4.348069921548098e-10
22891_7836,1,104,0,4.39459300501474e-10
23058_8051,1,106,0,4.415534257223497e-10
22915_8009,2,103,0,4.452256634531174e-10
23029_7902,1,106,0,4.479110354157388e-10
23083_7840,1,103,0,4.4957254796259327e-10
22926_7941,2,103,0,4.5777190281595064e-10
22942_7896,1,103,0,4.584103220105793e-10
22975_7887,1,103,0,4.615471411343727e-10
22871_8037,2,103,0,4.6169304345254794e-10
22842_7983,2,103,0,4.639332176524039e-10
22920_7952,1,106,0,4.6397642641036795e-10
23044_7950,2,101,0,4.6473568276290115e-10
23041_7965,1,103,0,4.733988598717401e-10
22910_7929,2,101,0,4.734583251216433e-10
22979_8069,2,103,0,4.761615643955876e-10
22886_7996,1,106,0,4.81898643524324e-10
22886_7943,2,101,0,4.851300920618816e-10
23033_7917,1,106,0,4.881494541819767e-10
23100_7899,1,103,0,4.892249676619183e-10
22880_7943,1,107,0,4.929439045975553e-10
22915_8017,1,106,0,4.938705082971462e-10
23062_7905,1,103,0,4.972503924755211e-10
22949_7963,2,103,0,4.994261438051241e-10
23025_8032,1,103,0,5.008011866311039e-10
23023_7918,2,103,0,5.045166357866388e-10
22945_8054,2,103,0,5.090640208056882e-10
23069_8000,1,103,0,5.113989855269053e-10
22919_7911,1,105,0,5.119069148077071e-10
22984_8006,1,106,0,5.159899478940761e-10
23050_8039,1,106,0,5.170833833785546e-10
23092_8043,1,105,0,5.183203127900917e-10
22878_7932,2,101,0,5.203497265722082e-10
22930_8018,1,106,0,5.204424145644443e-10
22936_8043,1,106,0,5.213549159143061e-10
22914_7842,3,104,0,5.227253147946148e-10
22983_7905,1,103,0,5.274732940377522e-10
22893_7906,1,106,0,5.289635484196745e-10
22964_7886,1,103,0,5.321854023316986e-10
22910_8022,1,106,0,5.334766335624389e-10
22990_7942,1,106,0,5.34555726741063e-10
23065_7846,1,106,0,5.378380385008317e-10
22926_7977,1,106,0,5.381590924654215e-10
22927_8023,1,106,0,5.40814083115051e-10
22892_8025,2,101,0,5.429406540549368e-10
23079_7970,1,106,0,5.429491974539083e-10
22913_8022,2,106,0,5.459652352959958e-10
22835_7856,1,106,0,5.491660077243604e-10
22888_8030,2,101,0,5.493535576148412e-10
23073_7891,1,105,0,5.493955043784963e-10
22972_7936,1,106,0,5.495542767958604e-10
22954_7942,2,103,0,5.517622819408337e-10
22966_8049,1,105,0,5.529203737641343e-10
23073_8010,1,103,0,5.581692651432754e-10
23043_7908,2,101,0,5.58222957830901e-10
22843_7986,2,103,0,5.586259919404436e-10
22925_8023,2,103,0,5.600452106073537e-10
22883_8052,1,106,0,5.606988822215839e-10
22975_7944,1,106,0,5.64616448871099e-10
22926_8030,2,103,0,5.66247035259046e-10
22845_7939,2,103,0,5.676608842988853e-10
22867_7945,1,106,0,5.699667786868663e-10
23024_7969,1,106,0,5.712318743518025e-10
22936_8011,1,106,0,5.717720448812102e-10
22919_8031,1,107,0,5.732822208227814e-10
22958_7858,2,103,0,5.754581123378979e-10
23006_7953,1,103,0,5.760070396461124e-10
22956_8020,1,106,0,5.765531879185658e-10
22815_7842,1,103,0,5.793698992795789e-10
22931_7891,1,103,0,5.801716573124174e-10
23051_7879,1,106,0,5.806901063052347e-10
22981_7946,2,101,0,5.814733677957085e-10
22876_8051,2,103,0,5.851326449255185e-10
23057_8050,1,106,0,5.871920391811556e-10
22892_8039,2,101,0,5.931758162249161e-10
22960_7891,2,103,0,5.99366779739719e-10
22873_7992,1,106,0,5.995565597933245e-10
22940_7888,1,106,0,6.010797506823605e-10
22876_7890,2,105,0,6.092040381311364e-10
22935_7914,1,107,3,6.093799205215531e-10
22876_7923,1,103,0,6.166903731375681e-10
22920_7965,1,106,0,6.175838813169426e-10
22897_7980,2,101,0,6.216470725132347e-10
22960_7937,1,106,0,6.228053093080698e-10
22877_7998,1,106,0,6.267720650049874e-10
22852_7937,1,106,0,6.286250384048641e-10
22959_7869,2,103,0,6.33854949570908e-10
23067_7995,2,105,0,6.351334977178758e-10
22815_7849,1,103,0,6.396388380736487e-10
23021_7858,1,106,0,6.429133652785734e-10
22860_8048,2,103,0,6.446936969932678e-10
22977_7907,1,106,0,6.468873514298636e-10
22910_8066,1,103,0,6.475245545793048e-10
22966_8009,1,106,0,6.481068835919805e-10
23053_7952,1,103,0,6.501693826584226e-10
23089_7974,1,103,0,6.51678685312309e-10
22895_7847,2,101,0,6.536054708739795e-10
22920_8050,1,105,0,6.539658109096922e-10
22983_7850,2,105,0,6.542821922739266e-10
22989_7878,2,101,0,6.569817408839961e-10
22890_7976,1,106,0,6.576631490188408e-10
23057_7882,1,105,0,6.591058040196941e-10
22894_7917,2,103,0,6.615159771177596e-10
22892_7956,2,101,0,6.650911854016771e-10
22978_8032,1,103,0,6.671335472182918e-10
22939_7929,2,105,0,6.703349352326421e-10
23033_8007,1,106,0,6.729323803102402e-10
22860_7872,1,106,0,6.731855543268187e-10
22892_8013,1,106,0,6.747967911076989e-10
23000_7893,1,103,0,6.751893322312776e-10
23028_7935,1,106,0,6.75446750808984e-10
22844_7896,1,103,0,6.762984170200485e-10
22888_7841,1,104,0,6.774519675484981e-10
23034_7982,1,103,0,6.775772883301676e-10
22943_7887,1,105,0,6.810110261934514e-10
22862_7876,2,101,0,6.825743831362031e-10
22919_8026,1,106,0,6.847775039731046e-10
23010_7971,1,106,0,6.886235585711529e-10
22980_8042,1,106,0,6.890102841950455e-10
22971_7862,1,106,0,6.898921284792993e-10
22861_7950,2,103,0,6.917184249400881e-10
22943_7975,1,103,0,6.950069627416898e-10
23080_7978,1,106,0,6.953671551893103e-10
22916_8012,1,106,0,6.97696451489449e-10
22979_8030,1,103,0,6.993007302859482e-10
23007_7922,1,103,0,7.077002641089711e-10
22823_7860,1,103,0,7.105024430559691e-10
22849_7859,2,103,0,7.113349305289421e-10
23078_7893,1,105,0,7.113745594666033e-10
23070_7928,2,101,4,7.125561288856367e-10
23074_7914,2,103,0,7.129754943657731e-10
22871_7907,1,106,0,7.14455726412931e-10
22975_7929,1,106,0,7.15651769354572e-10
22979_7947,2,101,0,7.168044661432741e-10
22912_7839,2,104,0,7.190268703583892e-10
23005_7908,1,106,0,7.203772382977102e-10
22975_7970,1,106,0,7.23120470028527e-10
23060_7897,1,106,0,7.251870727632733e-10
23039_7842,1,106,0,7.255863754250785e-10
22960_7938,1,106,0,7.266657822259943e-10
22940_7846,1,106,0,7.275975091944557e-10
23024_7964,1,106,0,7.281459528370555e-10
22903_7998,2,101,0,7.290848876111936e-10
22897_7864,2,101,0,7.332503251517613e-10
23024_8040,2,101,0,7.347714051101799e-10
22944_7849,2,101,0,7.366161594175798e-10
23040_7988,1,106,0,7.383773489052153e-10
22955_8026,1,106,0,7.394172286411698e-10
22900_8004,1,106,0,7.425414422258128e-10
22879_7903,2,103,0,7.446455093630121e-10
22840_7969,3,103,0,7.45067482319094e-10
22987_7872,1,106,0,7.518009909699022e-10
22909_8067,1,103,0,7.581521411894474e-10
23070_8069,1,106,0,7.590617724367989e-10
22946_7975,3,106,0,7.601051454701818e-10
23099_7961,1,103,0,7.618356044430019e-10
23022_7929,1,103,0,7.70715299173402e-10
23010_8047,1,105,0,7.725640057865021e-10
22903_8024,1,106,0,7.732631262027363e-10
22852_7889,2,105,0,7.741083143663033e-10
23088_7852,1,103,0,7.741158316193145e-10
23049_7985,2,101,3,7.768217028836285e-10
23052_7996,2,101,0,7.870030216775045e-10
22861_8003,3,103,0,7.895939532669106e-10
22896_7846,2,101,0,7.907166700756471e-10
23072_7912,2,101,0,7.914545995472376e-10
22955_7996,2,101,0,7.977672168501175e-10
23059_8051,1,106,0,8.006244302338213e-10
22973_7921,1,103,0,8.071054395577561e-10
23098_8070,1,105,0,8.094652889132559e-10
22930_8071,2,103,0,8.159497997998824e-10
23035_7999,1,106,0,8.15976094961783e-10
22950_8020,2,103,0,8.169319011358251e-10
23015_7966,1,103,0,8.175988157187734e-10
22936_7887,1,106,0,8.192747809989006e-10
23070_7895,1,106,0,8.195395732629261e-10
22995_7974,2,103,0,8.216111750339699e-10
22932_8045,2,103,0,8.22916979840533e-10
22824_7858,1,103,0,8.238973324520197e-10
22895_7995,1,106,0,8.278671011828038e-10
22908_7972,2,103,0,8.306835832980618e-10
22975_7877,1,106,0,8.340493944354937e-10
22866_8003,3,103,0,8.392660873915331e-10
22919_7915,1,105,0,8.407751516264611e-10
22909_7843,3,104,0,8.471847265464909e-10
23051_7984,1,105,0,8.50638211596646e-10
22974_7895,1,106,0,8.509929229900377e-10
22947_7913,1,103,0,8.524540353308653e-10
23088_7922,2,101,0,8.527057136874889e-10
22927_7960,1,106,0,8.542066474594827e-10
23058_8061,2,103,0,8.543039079338114e-10
22937_8067,2,103,0,8.564278854559704e-10
22905_7923,2,106,0,8.579851747097343e-10
22901_7998,2,103,0,8.605206464154448e-10
22893_8006,1,103,0,8.623054427204145e-10
22973_7876,1,106,0,8.666638034289436e-10
22925_7851,1,106,0,8.683381668711032e-10
23046_7838,1,106,0,8.68721914134398e-10
23073_7913,2,103,0,8.700316026112993e-10
23097_7869,1,106,0,8.715973394592912e-10
22890_8015,1,103,0,8.741990229986563e-10
22836_7873,1,103,0,8.745618671329643e-10
22986_7986,1,105,0,8.746863625074963e-10
22935_8068,2,103,0,8.767719255176732e-10
22943_8000,2,103,0,8.776489903304793e-10
22993_7869,1,106,0,8.776757380483173e-10
22972_8017,1,106,0,8.782053110538923e-10
22916_7972,2,106,0,8.788618705735743e-10
23026_7881,1,105,0,8.814385054185627e-10
22900_7964,2,103,0,8.851994290664756e-10
22944_7928,1,106,0,8.865349746603286e-10
23105_7854,1,106,0,8.89311056790841e-10
22911_7928,2,103,0,8.91153299313427e-10
22956_8027,1,106,0,8.962441199193402e-10
22998_7926,1,106,0,9.021449435391327e-10
23036_8023,1,103,0,9.172910281860248e-10
22990_7893,2,101,0,9.236795471220484e-10
22824_7973,1,103,0,9.26352382488727e-10
22874_7895,2,101,0,9.287162476301865e-10
22890_8044,2,101,0,9.333506456526093e-10
23061_8056,1,106,0,9.356188728844938e-10
22924_8016,1,107,0,9.379784650326908e-10
22999_7863,2,101,0,9.3961828625972e-10
23055_7930,1,105,0,9.530581004150189e-10
22995_7964,2,101,3,9.548725370815924e-10
23102_8013,1,106,0,9.610675590924722e-10
23025_7967,1,106,0,9.621200941089725e-10
22844_7838,1,103,0,9.623584186021714e-10
22878_7843,1,106,0,9.636039123822178e-10
23085_7920,1,106,0,9.64444845207079e-10
22994_7902,1,106,0,9.670804045495007e-10
23002_7978,1,105,0,9.691971751174812e-10
22888_7959,2,103,0,9.703391101863176e-10
22877_7928,2,101,0,9.724248852191102e-10
22845_7850,1,103,0,9.740894084074064e-10
22911_7992,2,103,0,9.757705033593932e-10
22985_7881,2,101,0,9.85249347679866e-10
23028_7901,2,101,4,9.890897545589276e-10
22954_8040,2,101,0,9.891630321443071e-10
22882_7951,1,103,0,9.894586278505727e-10
23047_7885,1,105,0,9.90495351461544e-10
22975_7939,2,105,0,9.92507416561291e-10
23097_7879,2,103,0,9.925714829338518e-10
22909_7912,2,103,4,9.954122562076264e-10
23057_8069,1,106,0,9.970830607110112e-10
23008_8051,1,103,0,9.978145618404586e-10
22955_7924,2,103,0,1.0029903025212843e-09
22991_7982,2,103,0,1.0033531955307916e-09
23047_7969,2,101,0,1.0042860135935715e-09
23091_7896,1,106,0,1.0067471978735188e-09
22917_8011,2,103,0,1.0164055418319799e-09
22990_7967,2,101,4,1.0188313554778782e-09
22961_7852,1,103,0,1.024675854264859e-09
22921_7916,1,105,0,1.02792473149319e-09
23095_7950,2,103,0,1.0310240050356579e-09
23005_7914,1,106,0,1.0346673207644557e-09
22957_7862,1,106,0,1.0361503285333602e-09
23018_7898,2,101,0,1.0386584656620227e-09
22872_7892,2,101,0,1.0528314226426676e-09
22908_7870,1,106,0,1.054179299488701e-09
22893_7836,1,104,0,1.0560865652610842e-09
22820_7865,1,103,0,1.0566858043709778e-09
22887_7870,2,101,0,1.0569727079765768e-09
22900_7854,1,103,0,1.0582807596855782e-09
22923_7989,2,103,0,1.0613599649629813e-09
22962_8041,1,106,0,1.0614595665084025e-09
22983_8065,2,101,0,1.0669778793579919e-09
23094_8044,1,105,0,1.0682309375289348e-09
22939_8051,2,103,0,1.0773415340356654e-09
22847_7998,2,103,0,1.0836934310284582e-09
23086_8037,1,105,0,1.0867530545046938e-09
22925_8041,2,103,0,1.0901235913001313e-09
23099_7976,1,103,0,1.0914126442797535e-09
23040_7924,1,106,0,1.0916573804142577e-09
22903_7853,1,103,0,1.105367522174819e-09
22884_8033,2,101,0,1.107097926638726e-09
22978_7861,1,106,0,1.107744273571957e-09
22958_7855,2,103,0,1.110456186245052e-09
22839_7890,2,106,0,1.1137618813982225e-09
23083_7914,2,101,0,1.1150890487818029e-09
22895_7867,2,101,0,1.1204814864332829e-09
22822_7869,1,103,0,1.1261715284822187e-09
22896_8020,2,101,0,1.1265339985388107e-09
22903_7859,2,101,4,1.1287093308413747e-09
22936_8056,1,106,0,1.132973240421625e-09
23046_8052,1,106,0,1.1388553218401898e-09
23050_7953,1,103,0,1.139008929741788e-09
22973_7937,1,106,0,1.1412500991934795e-09
