threshold,predicted_positive,true_positive,false_positive,false_negative,precision,recall,f1
0.1,117640,181,117459,0,0.0015385923155389323,1.0,0.0030724573717758295
0.15,117640,181,117459,0,0.0015385923155389323,1.0,0.0030724573717758295
0.2,117513,181,117332,0,0.001540255120710049,1.0,0.0030757727666661
0.25,116126,181,115945,0,0.0015586518092416857,1.0,0.0031124523889361775
0.3,106963,177,106786,4,0.0016547778203677907,0.9779005524861878,0.003303964757709251
0.35,83189,169,83020,12,0.002031518590198223,0.9337016574585635,0.004054216144896245
0.4,56235,145,56090,36,0.0025784653685427227,0.8011049723756906,0.0051403857061826435
0.45,43250,137,43113,44,0.003167630057803468,0.7569060773480663,0.006308857728350718
0.5,35412,129,35283,52,0.003642832937987123,0.712707182320442,0.007248616300958054
0.55,23433,105,23328,76,0.004480860325182435,0.580110497237569,0.008893029558736342
0.6,17413,92,17321,89,0.005283408947338196,0.5082872928176796,0.010458110719563488
0.65,11789,86,11703,95,0.007294935957248282,0.47513812154696133,0.014369256474519632
0.7,8857,82,8775,99,0.009258213842158745,0.4530386740331492,0.01814560743527329
0.75,7474,76,7398,105,0.010168584426010168,0.4198895027624309,0.01985630306988896
0.8,5905,67,5838,114,0.011346316680779001,0.3701657458563536,0.02201774564574433
0.85,3827,58,3769,123,0.015155474261823882,0.32044198895027626,0.028942115768463075
0.9,1568,39,1529,142,0.024872448979591837,0.2154696132596685,0.044596912521440824
0.95,220,7,213,174,0.031818181818181815,0.03867403314917127,0.034912718204488775
