grid_id,road_risk_score,risk_level,relative_top_percent,absolute_risk_score,absolute_risk_level,action_level,action_rank,risk_trigger,preventive_repair_candidate,feature_risk_score,model_relative_score,relative_ai_index,absolute_feature_score,absolute_risk_index,road_structure_score,lanes,road_rank,road_type,lanes_lift,road_rank_lift
22914_7844,91.9,매우 높음,0.007,73.8,높음,긴급점검,1,과거 포트홀 이력+동결융해 3회 이상; 보수 후 365일 이상,0,0.76191459,1.0,0.84524449,0.7144125,0.73826835,1.0,3,104,0,2.05829119,4.15345269
22895_7839,90.3,매우 높음,0.036,64.9,높음,긴급점검,2,과거 포트홀 이력+동결융해 3회 이상; 보수 후 365일 이상,0,0.76059208,1.0,0.81627377,0.63274583,0.64890727,0.81259279,2,104,0,0.75015182,4.15345269
22887_8006,85.8,매우 높음,0.051,55.9,보통,긴급점검,3,최근30일 포트홀+동결융해 3회 이상,0,0.74362099,1.0,0.73535192,0.60599812,0.55895583,0.34665515,3,103,0,2.05829119,1.04174334
22930_7862,80.9,매우 높음,0.443,51.2,보통,긴급점검,4,최근90일 포트홀+동결융해 3회 이상,0,0.64605198,1.0,0.65379638,0.5669125,0.51150594,0.22575061,2,107,0,0.75015182,1.358478
23065_7997,83.4,매우 높음,0.291,47.1,보통,긴급점검,5,최근90일 포트홀+동결융해 3회 이상,0,0.71921549,1.0,0.69635992,0.5190887,0.47064535,0.1924657,2,105,0,0.75015182,1.19995074
22904_7839,90.7,매우 높음,0.015,59.5,보통,우선점검,6,과거 포트홀 이력+동결융해 3회 이상; 보수 후 365일 이상,0,0.75773645,1.0,0.82175273,0.55107917,0.59499239,0.86149359,1,104,0,1.09148907,4.15345269
22900_7842,90.6,매우 높음,0.022,59.5,보통,우선점검,7,과거 포트홀 이력+동결융해 3회 이상; 보수 후 365일 이상,0,0.75761887,1.0,0.8216763,0.55107917,0.59499239,0.86149359,1,104,0,1.09148907,4.15345269
22904_7840,90.6,매우 높음,0.022,57.6,보통,우선점검,8,과거 포트홀 이력+동결융해 3회 이상,0,0.75745929,1.0,0.82157258,0.52532574,0.57567732,0.86149359,1,104,0,1.09148907,4.15345269
22926_7979,84.5,매우 높음,0.16,57.2,보통,우선점검,9,과거 포트홀 이력+동결융해 3회 이상; 보수 후 365일 이상,0,0.75215067,1.0,0.71426558,0.65904375,0.57210943,0.16911762,1,106,0,1.09148907,0.85584836
22903_7936,84.8,매우 높음,0.131,55.2,보통,우선점검,10,과거 포트홀 이력+동결융해 3회 이상; 보수 후 365일 이상,0,0.76060888,1.0,0.71976341,0.63274583,0.55238599,0.16911762,1,106,0,1.09148907,0.85584836
22878_7920,85.8,매우 높음,0.051,53.4,보통,우선점검,11,과거 포트홀 이력+동결융해 3회 이상,0,0.76023933,1.0,0.73535327,0.58726638,0.53410647,0.27465141,1,107,0,1.09148907,1.358478
22954_7986,84.8,매우 높음,0.131,52.6,보통,우선점검,12,과거 포트홀 이력+동결융해 3회 이상; 보수 후 365일 이상,0,0.71856488,1.0,0.71906545,0.56190833,0.52588849,0.34665515,3,103,0,2.05829119,1.04174334
22931_7900,85.2,매우 높음,0.08,51.7,보통,우선점검,13,과거 포트홀 이력+동결융해 3회 이상,0,0.76094107,1.0,0.72583401,0.57797414,0.51716189,0.20814874,1,103,0,1.09148907,1.04174334
22843_7840,85.2,매우 높음,0.08,51.4,보통,우선점검,14,과거 포트홀 이력+동결융해 3회 이상,0,0.76018893,1.0,0.72534512,0.5741157,0.51426806,0.20814874,1,103,0,1.09148907,1.04174334
22892_8001,85.6,매우 높음,0.065,50.5,보통,우선점검,15,과거 포트홀 이력+동결융해 3회 이상; 보수 후 365일 이상,0,0.73998037,1.0,0.73298552,0.53382917,0.50482912,0.34665515,3,103,0,2.05829119,1.04174334
22979_8028,83.6,매우 높음,0.283,50.5,보통,우선점검,16,과거 포트홀 이력+동결융해 3회 이상; 보수 후 365일 이상,0,0.71853129,1.0,0.69826765,0.56190833,0.50511253,0.20814874,1,103,0,1.09148907,1.04174334
23095_8063,84.2,매우 높음,0.218,50.4,보통,우선점검,17,과거 포트홀 이력+동결융해 3회 이상,0,0.71834651,1.0,0.70812294,0.54766176,0.504403,0.27465141,1,107,0,1.09148907,1.358478
22981_7904,82.6,매우 높음,0.37,50.3,보통,우선점검,18,과거 포트홀 이력+동결융해 3회 이상; 보수 후 365일 이상,0,0.69389202,1.0,0.68225213,0.55928333,0.50314378,0.20814874,1,103,0,1.09148907,1.04174334
22818_7852,85.1,매우 높음,0.102,49.7,보통,우선점검,19,과거 포트홀 이력+동결융해 3회 이상; 보수 후 365일 이상,0,0.75782044,1.0,0.7238056,0.55107917,0.49699066,0.20814874,1,103,0,1.09148907,1.04174334
22923_7896,84.9,매우 높음,0.116,49.5,보통,우선점검,20,과거 포트홀 이력+동결융해 3회 이상; 보수 후 365일 이상,0,0.75755168,1.0,0.72127844,0.55107917,0.4946382,0.1924657,2,105,0,0.75015182,1.19995074
22923_7897,84.9,매우 높음,0.116,49.5,보통,우선점검,21,과거 포트홀 이력+동결융해 3회 이상; 보수 후 365일 이상,0,0.75763567,1.0,0.72133304,0.55107917,0.4946382,0.1924657,2,105,0,0.75015182,1.19995074
22953_7864,82.3,매우 높음,0.392,49.0,보통,우선점검,22,과거 포트홀 이력+동결융해 3회 이상,0,0.69462737,1.0,0.67687543,0.5499911,0.49031994,0.16911762,1,106,0,1.09148907,0.85584836
22894_7941,84.7,매우 높음,0.145,47.9,보통,우선점검,23,과거 포트홀 이력+동결융해 3회 이상,0,0.76002096,1.0,0.71790081,0.53630748,0.47857677,0.15924794,2,103,0,0.75015182,1.04174334
22892_8002,84.0,매우 높음,0.232,47.7,보통,우선점검,24,과거 포트홀 이력+동결융해 3회 이상; 보수 후 365일 이상,0,0.74003077,1.0,0.70490719,0.53382917,0.47671804,0.15924794,2,103,0,0.75015182,1.04174334
22822_7840,85.2,매우 높음,0.08,47.4,보통,우선점검,25,과거 포트홀 이력+동결융해 3회 이상,0,0.75993697,1.0,0.72518134,0.51986912,0.47358312,0.20814874,1,103,3,1.09148907,1.04174334
23003_7859,80.8,매우 높음,0.45,47.4,보통,우선점검,26,과거 포트홀 이력+동결융해 3회 이상; 보수 후 365일 이상,0,0.69399281,1.0,0.65298425,0.55928333,0.47381039,0.01259279,2,101,4,0.75015182,0.34326349
23015_8021,83.2,매우 높음,0.298,46.8,보통,우선점검,27,과거 포트홀 이력+동결융해 3회 이상,0,0.71904826,1.0,0.69274901,0.51973938,0.46763115,0.16911762,1,106,0,1.09148907,0.85584836
