event_id,event_date,lat,lon,severity,road_name
P0103,2024-08-24,35.853714,126.956846,2,황토로
P0004,2024-10-09,35.231765,126.896146,3,지산마을길
P0069,2024-10-13,36.134616,126.998977,2,익산대로
P0098,2024-10-26,35.217058,126.387509,2,일반국도77호선
P0003,2024-10-29,35.232856,126.8965,3,지산마을길
P0044,2024-11-08,35.920664,127.167001,1,완주로
P0011,2024-11-18,35.560833,127.4694,3,장남로
P0030,2024-11-18,35.83828,126.962819,2,황토로
P0092,2024-11-21,35.986075,127.244704,2,대아저수로
P0029,2024-11-27,35.838327,126.962502,3,황토로
P0111,2024-11-28,35.299146,127.391632,2,순천완주고속도로
P0018,2024-12-09,35.484594,126.991471,3,순정로
P0095,2024-12-24,35.825352,127.809205,3,송계로
P0057,2024-12-26,35.269611,126.367987,1,백수로
P0040,2025-01-08,35.211346,126.78039,1,-
P0055,2025-01-09,35.625777,127.738503,1,육십령로
P0049,2025-01-10,35.647917,126.837835,2,황토현로
P0026,2025-01-15,35.491191,127.502355,3,광주대구고속도로
P0088,2025-01-25,35.502205,127.268164,3,충효로
P0041,2025-01-30,35.912299,126.524284,1,새만금로
P0062,2025-02-02,35.213611,126.790034,1,임곡로
P0031,2025-02-04,35.838776,126.961658,2,황토로
P0050,2025-02-04,35.2131,126.841267,2,첨단내촌로70번길
P0090,2025-02-07,35.87051,127.11975,2,동부대로
P0091,2025-02-10,35.87022,127.118921,3,동부대로
P0001,2025-02-14,36.051247,127.477609,3,보석사로
P0013,2025-02-14,36.028883,127.456833,2,보석사로
P0112,2025-02-24,35.226287,127.286673,2,오죽로
P0074,2025-02-25,36.009357,127.004692,2,황금로
P0070,2025-02-28,36.116069,127.033834,1,여강로
P0072,2025-02-28,36.061054,127.25851,3,대둔산로
P0021,2025-03-02,35.326556,127.112173,2,금풍로
P0027,2025-03-02,35.920303,127.734801,2,치마재1로
P0080,2025-03-02,35.470033,126.94438,3,백방로
P0073,2025-03-03,35.224318,126.818794,3,비아로127번길
P0017,2025-03-19,35.484301,126.990729,1,순정로
P0006,2025-03-23,35.23251,126.896524,1,지산마을길
P0094,2025-03-31,35.937597,126.941013,3,고현로
P0083,2025-06-05,35.942008,126.775289,2,금강로
P0048,2025-06-10,35.6475,126.838202,1,황토현로
P0079,2025-06-17,35.469738,126.944659,2,백방로
P0046,2025-06-27,35.738508,126.730916,1,부안로
P0078,2025-07-03,35.68102,127.911808,3,수남로
P0102,2025-07-04,35.854377,126.955249,3,황토로
P0106,2025-07-14,35.498178,127.930739,3,오동로
P0084,2025-07-15,35.941269,126.774623,2,금강로
P0007,2025-08-20,35.576195,126.697115,2,서해안고속도로
P0034,2025-08-24,35.545209,127.019724,2,청정로
P0005,2025-09-03,35.232204,126.897199,1,지산마을길
P0053,2025-09-10,36.218307,127.89896,2,경부고속도로
P0077,2025-09-20,35.404794,127.355605,3,남문로
P0009,2025-09-28,35.643847,127.515379,1,장수로
P0051,2025-10-04,35.213823,126.840742,1,첨단내촌로70번길
P0038,2025-11-02,35.521559,127.015021,1,청정로
P0008,2025-11-04,35.575906,126.696942,1,서해안고속도로
P0023,2025-11-04,35.32521,127.112938,1,금풍로
P0061,2025-11-04,35.213442,126.790441,2,임곡로
P0075,2025-11-09,36.247802,126.901244,1,의자로
P0101,2025-11-09,35.216257,126.505602,1,함영로
P0043,2025-11-13,35.919356,127.167205,2,완주로
P0025,2025-11-21,35.490351,127.500779,1,광주대구고속도로
