repair_id,repair_date,lat,lon,repair_type
F0001,2026-04-01,35.775028,127.368785,상온아스콘
F0002,2025-12-30,35.540726,127.097995,임시보수
F0003,2026-01-23,35.349021,126.761983,상온아스콘
F0004,2026-02-08,35.459789,126.697465,상온아스콘
F0005,2026-03-10,35.337006,127.311435,상온아스콘
F0006,2024-11-29,35.241625,127.48737,덧씌우기
F0007,2026-03-19,35.448894,127.47508,임시보수
F0008,2024-11-19,35.729398,126.529385,임시보수
F0009,2026-03-18,36.110645,127.697244,상온아스콘
F0010,2025-05-24,36.086145,127.268799,임시보수
F0011,2026-03-18,35.729469,126.526296,임시보수
F0012,2025-11-17,36.079926,127.490647,덧씌우기
F0013,2025-03-17,35.785921,127.422641,임시보수
F0014,2026-03-16,35.272718,126.490361,임시보수
F0015,2024-12-20,35.841982,127.173035,덧씌우기
F0016,2025-12-07,35.551211,127.334078,덧씌우기
F0017,2026-04-06,35.731427,126.527395,상온아스콘
F0018,2025-03-20,35.831237,127.853582,상온아스콘
F0019,2026-01-12,35.349761,127.227403,덧씌우기
F0020,2025-04-04,35.207892,127.485903,덧씌우기
F0021,2024-12-25,35.349118,127.227488,임시보수
F0022,2024-12-04,35.518655,127.931898,임시보수
F0023,2026-01-23,35.348291,126.761559,상온아스콘
F0024,2024-12-18,35.642866,127.365025,상온아스콘
F0025,2026-06-20,35.48893,126.521511,덧씌우기
F0026,2026-04-05,36.126748,126.979959,임시보수
F0027,2025-07-26,35.65119,127.811159,상온아스콘
F0028,2025-07-20,36.149742,126.883707,상온아스콘
F0029,2025-03-15,35.710817,126.599599,상온아스콘
F0030,2025-03-07,36.11924,127.334217,덧씌우기
F0031,2026-01-12,35.61004,126.646871,상온아스콘
F0032,2026-04-05,35.327777,126.606444,덧씌우기
F0033,2024-12-01,35.348897,126.761584,상온아스콘
F0034,2025-12-29,35.622521,127.106806,임시보수
F0035,2024-11-30,35.551561,127.333218,임시보수
F0036,2026-01-28,36.0025,127.589485,상온아스콘
F0037,2026-04-06,35.229631,126.791859,상온아스콘
F0038,2024-12-14,36.001142,127.588849,덧씌우기
F0039,2026-08-01,36.195108,126.741467,임시보수
F0040,2024-11-01,35.272838,126.490242,상온아스콘
F0041,2026-03-21,35.41018,126.86429,임시보수
F0042,2024-11-28,35.241672,127.487053,덧씌우기
F0043,2025-01-23,35.328024,126.607463,덧씌우기
F0044,2026-01-12,35.27663,127.835966,임시보수
F0045,2025-03-01,35.554129,127.335613,임시보수
F0046,2025-02-01,35.337052,127.311594,덧씌우기
F0047,2025-05-18,36.185045,127.069181,덧씌우기
F0048,2025-05-21,35.460295,127.452475,임시보수
F0049,2026-01-14,35.622684,127.10709,임시보수
F0050,2025-06-07,35.449411,127.474637,상온아스콘
F0051,2026-02-28,35.226793,126.495345,상온아스콘
F0052,2025-06-16,35.613599,127.763047,임시보수
F0053,2025-01-03,36.182047,126.694822,임시보수
F0054,2024-11-11,35.524271,127.114344,임시보수
F0055,2025-02-18,36.216717,126.614488,덧씌우기
F0056,2025-12-06,35.327185,126.605887,덧씌우기
F0057,2025-02-11,35.96066,127.864427,상온아스콘
F0058,2024-12-07,36.184295,127.069187,임시보수
F0059,2025-02-07,35.296934,126.556711,상온아스콘
F0060,2026-01-31,35.78467,127.421982,임시보수
F0061,2025-01-01,35.710268,126.599526,임시보수
F0062,2026-03-04,35.714454,126.612223,상온아스콘
F0063,2026-03-12,35.285565,126.496051,덧씌우기
F0064,2026-01-27,35.348835,126.762135,덧씌우기
F0065,2025-12-17,35.560335,127.926291,상온아스콘
F0066,2025-02-21,35.960949,127.865257,상온아스콘
F0067,2024-11-14,36.004821,127.674803,덧씌우기
F0068,2026-03-27,35.784914,127.421738,덧씌우기
F0069,2026-02-23,35.710992,126.599477,덧씌우기
F0070,2025-01-31,35.296575,126.556783,덧씌우기
F0071,2024-12-02,36.076149,126.734165,임시보수
F0072,2026-05-01,35.282143,126.401063,덧씌우기
F0073,2024-09-08,36.149079,126.885304,상온아스콘
F0074,2026-03-12,35.609764,126.648314,임시보수
F0075,2026-03-22,35.55575,127.334359,임시보수
F0076,2026-05-23,35.940788,127.535293,상온아스콘
F0077,2024-11-18,35.40658,127.372533,상온아스콘
F0078,2024-11-05,35.207485,127.486023,상온아스콘
F0079,2025-02-18,35.282334,126.401068,상온아스콘
F0080,2026-01-16,35.227371,126.495948,임시보수
F0081,2026-01-01,35.408704,126.864193,임시보수
F0082,2026-02-14,35.612118,126.695145,임시보수
F0083,2025-02-07,35.24212,127.486209,상온아스콘
F0084,2025-11-16,35.997385,127.23117,상온아스콘
F0085,2025-10-02,35.730043,126.526743,덧씌우기
F0086,2025-06-16,35.877552,127.055292,덧씌우기
