sigungu_name,dept_name,phone_number,address
전주시,도로과,063-281-2443,전북특별자치도 전주시 완산구 기린대로 213
군산시,도로과,063-454-3830,전북특별자치도 군산시 시청로 17
익산시,도로관리과,063-859-5561,전북특별자치도 익산시 인북로 32길 1
정읍시,건설과,063-539-5811,전북특별자치도 정읍시 충정로 234
남원시,건설과,063-620-6521,전북특별자치도 남원시 시청로 60
김제시,건설과,063-540-3441,전북특별자치도 김제시 중앙로 40
완주군,도로교통과,063-290-2781,전북특별자치도 완주군 용진읍 지암로 61
진안군,안전건설과,063-430-2441,전북특별자치도 진안군 진안읍 중앙로 67
무주군,안전건설과,063-320-2441,전북특별자치도 무주군 무주읍 주계로 97
장수군,안전건설과,063-350-2441,전북특별자치도 장수군 장수읍 중심로 9
임실군,건설과,063-640-2521,전북특별자치도 임실군 임실읍 수정로 30
순창군,안전건설과,063-650-1821,전북특별자치도 순창군 순창읍 경천로 33
고창군,건설도시과,063-560-2541,전북특별자치도 고창군 고창읍 중앙로 245
부안군,건설교통과,063-580-4501,전북특별자치도 부안군 부안읍 당산로 80
