노선명,구간명,AADT,승용차,버스,소형화물,중형화물,대형화물,평균교통량_계,평균교통량_비율,주말_승용차,주말_버스,주말_소형화물,주말_중형화물,주말_대형화물,주말교통량_계,주말교통량_비율,city,road_id,승용차_ESAL,버스_ESAL,소형화물_ESAL,중형화물_ESAL,대형화물_ESAL,traffic_esal,total_traffic,heavy_traffic,heavy_vehicle_ratio,traffic_score,total_sewer_length,old_sewer_length,old_sewer_ratio,average_sewer_age,sewer_score,date,min_temp,max_temp,precipitation,freeze_thaw,freeze_thaw_14d,freeze_score,rain_7d,rain_14d,rain_7d_score,rain_14d_score,rain_score,month,freeze_weight,rain_weight,sewer_weight,traffic_weight,freeze_contribution,rain_contribution,sewer_contribution,traffic_contribution,base_risk_score,interaction_bonus,risk_score,risk_level,main_risk_factor
 ,익산시-성산면(2711-00),19917,16749,262,2722,721,118,20572,103.3,16149,125,1613,331,56,18274,91.8,익산시, |익산시-성산면(2711-00),3.3498,223.224,10.888,1250.9350000000002,373.942,1862.3388000000002,20572,839,0.040783589344740426,55.93438521605501,1404068.0,1069912.0,0.7620086776423934,10.189728749446367,76.20086776423935,2025-12-31,-5.28,-0.3,0.0,0,12.0,100,3.429999999999993,17.97,4.040047114252053,9.277232834279813,9.277232834279813,12,0.35,0.15,0.25,0.25,35.0,1.3915849251419719,19.050216941059837,13.983596304013753,69.42539817021556,0,69.42539817021556,위험,동결융해
 ,전주시-공덕면(2115-01),59751,46942,836,9325,3751,1154,62008,103.8,46892,587,4766,1393,450,54088,90.5,전주시, |전주시-공덕면(2115-01),9.3884,712.2719999999999,37.300000000000004,6507.985000000001,3657.026,10923.9714,62008,4905,0.07910269642626758,100.0,2081706.65,842.95,0.00040493217428113617,7.742488395563824,0.04049321742811362,2025-12-31,-7.38,-1.27,0.0,0,10.0,100,32.11999999999999,37.29,43.48191757779645,19.251419721218376,43.48191757779645,12,0.35,0.15,0.25,0.25,35.0,6.522287636669468,0.010123304357028405,25.0,66.5324109410265,0,66.5324109410265,위험,동결융해
국도1호선,정읍시-태인면(0115-01),23142,18816,419,4155,768,76,24234,104.7,17328,218,2588,242,26,20402,88.2,정읍시,국도1호선|정읍시-태인면(0115-01),3.7632000000000003,356.988,16.62,1332.48,240.844,1950.6952,24234,844,0.03482710241809028,57.08862898830665,845508.0,326882.92,0.38661126801875323,9.4307279162049,38.66112680187533,2025-12-31,-5.91,3.19,0.0,1,13.0,100,0.0,8.97,0.0,4.630872483221476,4.630872483221476,12,0.35,0.15,0.25,0.25,35.0,0.6946308724832214,9.665281700468832,14.272157247076663,59.63206982002872,0,59.63206982002872,위험,동결융해
 ,전주시-삼례읍(0120-01),20988,16883,193,4156,1555,152,22939,109.3,13406,101,1971,562,53,16093,76.7,전주시, |전주시-삼례읍(0120-01),3.3766000000000003,164.436,16.624,2697.925,481.688,3364.0496000000003,22939,1707,0.0744147521687955,70.66060334740284,2081706.65,842.95,0.00040493217428113617,7.742488395563824,0.04049321742811362,2025-12-31,-7.38,-1.27,0.0,0,10.0,100,32.11999999999999,37.29,43.48191757779645,19.251419721218376,43.48191757779645,12,0.35,0.15,0.25,0.25,35.0,6.522287636669468,0.010123304357028405,17.66515083685071,59.19756177787721,0,59.19756177787721,위험,동결융해
 ,김제IC-전주시(0116-02),30038,23302,501,6494,804,66,31167,103.8,21792,395,4707,287,23,27204,90.6,전주시, |김제IC-전주시(0116-02),4.6604,426.852,25.976,1394.94,209.154,2061.5824000000002,31167,870,0.027914139955722398,58.46540973889049,2081706.65,842.95,0.00040493217428113617,7.742488395563824,0.04049321742811362,2025-12-31,-7.38,-1.27,0.0,0,10.0,100,32.11999999999999,37.29,43.48191757779645,19.251419721218376,43.48191757779645,12,0.35,0.15,0.25,0.25,35.0,6.522287636669468,0.010123304357028405,14.616352434722623,56.14876337574912,0,56.14876337574912,위험,동결융해
 ,전주시-봉동읍(1714-01),20295,17223,374,2812,681,123,21213,104.5,15556,259,1872,267,39,17993,88.7,전주시, |전주시-봉동읍(1714-01),3.4446000000000003,318.64799999999997,11.248000000000001,1181.535,389.787,1904.6626,21213,804,0.03790128694668364,56.49395838537065,2081706.65,842.95,0.00040493217428113617,7.742488395563824,0.04049321742811362,2025-12-31,-7.38,-1.27,0.0,0,10.0,100,32.11999999999999,37.29,43.48191757779645,19.251419721218376,43.48191757779645,12,0.35,0.15,0.25,0.25,35.0,6.522287636669468,0.010123304357028405,14.123489596342662,55.65590053736916,0,55.65590053736916,위험,동결융해
 ,전주시-소양면(2606-00),24185,19780,431,3284,546,84,24125,99.8,21290,387,2338,287,34,24336,100.6,전주시, |전주시-소양면(2606-00),3.9560000000000004,367.212,13.136000000000001,947.3100000000001,266.196,1597.81,24125,630,0.0261139896373057,52.11973459023081,2081706.65,842.95,0.00040493217428113617,7.742488395563824,0.04049321742811362,2025-12-31,-7.38,-1.27,0.0,0,10.0,100,32.11999999999999,37.29,43.48191757779645,19.251419721218376,43.48191757779645,12,0.35,0.15,0.25,0.25,35.0,6.522287636669468,0.010123304357028405,13.029933647557703,54.5623445885842,0,54.5623445885842,위험,동결융해
국도29호선,정읍시-화호리(2909-01),7397,6045,135,1296,216,38,7730,104.5,5600,87,772,89,14,6562,88.7,정읍시,국도29호선|정읍시-화호리(2909-01),1.209,115.02,5.184,374.76000000000005,120.422,616.595,7730,254,0.03285899094437258,28.421614838834024,845508.0,326882.92,0.38661126801875323,9.4307279162049,38.66112680187533,2025-12-31,-5.91,3.19,0.0,1,13.0,100,0.0,8.97,0.0,4.630872483221476,4.630872483221476,12,0.35,0.15,0.25,0.25,35.0,0.6946308724832214,9.665281700468832,7.105403709708506,52.46531628266056,0,52.46531628266056,위험,동결융해
 ,대강면-남원시(2411-03),2664,1847,67,763,71,4,2752,103.3,1833,65,521,25,2,2446,91.8,남원시, |대강면-남원시(2411-03),0.3694,57.083999999999996,3.052,123.185,12.676,196.3664,2752,75,0.027252906976744186,0.0,670188.0,287953.6,0.42966093096265523,17.276260308101918,42.966093096265524,2025-12-31,-1.1,8.24,0.0,1,14.0,100,0.0,35.94,0.0,18.554465668559626,18.554465668559626,12,0.35,0.15,0.25,0.25,35.0,2.7831698502839437,10.741523274066381,0.0,48.52469312435032,0,48.52469312435032,주의,동결융해
 ,쌍치면-정읍시(2101-13),7689,6331,128,935,83,2,7479,97.3,7382,109,678,45,1,8215,106.9,정읍시, |쌍치면-정읍시(2101-13),1.2662,109.056,3.74,144.005,6.338,264.4052,7479,85,0.011365155769487899,7.379538355096134,845508.0,326882.92,0.38661126801875323,9.4307279162049,38.66112680187533,2025-12-31,-5.91,3.19,0.0,1,13.0,100,0.0,8.97,0.0,4.630872483221476,4.630872483221476,12,0.35,0.15,0.25,0.25,35.0,0.6946308724832214,9.665281700468832,1.8448845887740335,47.20479716172609,0,47.20479716172609,주의,동결융해
