road_point_id,lat,lon,road_name,행정동_시도,행정동_시군구,행정동_읍면동
R00001,35.82239,127.068752,전주 데모도로,전북특별자치도,전주시 완산구,효자4동
R00002,35.823858,127.073667,전주 데모도로,전북특별자치도,전주시 완산구,효자4동
R00003,35.824446,127.078537,전주 데모도로,전북특별자치도,전주시 완산구,효자5동
R00004,35.824761,127.08082,전주 데모도로,전북특별자치도,전주시 완산구,효자5동
R00005,35.82463,127.087153,전주 데모도로,전북특별자치도,전주시 완산구,효자5동
R00006,35.825016,127.092656,전주 데모도로,전북특별자치도,전주시 완산구,효자5동
R00007,35.824622,127.0969,전주 데모도로,전북특별자치도,전주시 완산구,효자5동
R00008,35.823561,127.101636,전주 데모도로,전북특별자치도,전주시 완산구,효자5동
R00009,35.82294,127.106375,전주 데모도로,전북특별자치도,전주시 완산구,효자5동
R00010,35.823175,127.11063,전주 데모도로,전북특별자치도,전주시 완산구,효자5동
R00011,35.824282,127.116859,전주 데모도로,전북특별자치도,전주시 완산구,중화산2동
R00012,35.824178,127.120984,전주 데모도로,전북특별자치도,전주시 완산구,중화산2동
R00013,35.823537,127.12596,전주 데모도로,전북특별자치도,전주시 완산구,중화산2동
R00014,35.823624,127.130986,전주 데모도로,전북특별자치도,전주시 덕진구,진북동
R00015,35.823135,127.13637,전주 데모도로,전북특별자치도,전주시 완산구,중앙동
R00016,35.823803,127.140991,전주 데모도로,전북특별자치도,전주시 완산구,중앙동
R00017,35.824821,127.145805,전주 데모도로,전북특별자치도,전주시 완산구,노송동
R00018,35.824759,127.148978,전주 데모도로,전북특별자치도,전주시 완산구,노송동
R00019,35.823855,127.156045,전주 데모도로,전북특별자치도,전주시 완산구,노송동
R00020,35.824556,127.161415,전주 데모도로,전북특별자치도,전주시 완산구,노송동
R00021,35.825393,127.165179,전주 데모도로,전북특별자치도,전주시 덕진구,인후3동
R00022,35.824024,127.169147,전주 데모도로,전북특별자치도,전주시 덕진구,인후3동
R00023,35.823867,127.174381,전주 데모도로,전북특별자치도,전주시 덕진구,우아2동
R00024,35.823785,127.178872,전주 데모도로,전북특별자치도,전주시 덕진구,우아2동
R00025,35.824481,127.185551,전주 데모도로,전북특별자치도,전주시 덕진구,우아2동
R00026,35.824853,127.188986,전주 데모도로,전북특별자치도,전주시 덕진구,우아2동
R00027,35.82491,127.194303,전주 데모도로,전북특별자치도,전주시 덕진구,우아2동
R00028,35.824172,127.198837,전주 데모도로,전북특별자치도,전주시 덕진구,우아2동
R00029,35.82406,127.204213,전주 데모도로,전북특별자치도,전주시 덕진구,우아2동
R00030,35.824298,127.208096,전주 데모도로,전북특별자치도,전주시 덕진구,우아2동
R00031,35.823656,127.213669,전주 데모도로,전북특별자치도,완주군,소양면
R00032,35.8245,127.218084,전주 데모도로,전북특별자치도,완주군,소양면
R00033,35.823408,127.224027,전주 데모도로,전북특별자치도,완주군,소양면
R00034,35.824927,127.226609,전주 데모도로,전북특별자치도,완주군,소양면
R00035,35.768569,127.091285,전주 데모도로,전북특별자치도,전주시 완산구,삼천3동
R00036,35.771193,127.095657,전주 데모도로,전북특별자치도,전주시 완산구,삼천3동
R00037,35.775645,127.09899,전주 데모도로,전북특별자치도,전주시 완산구,삼천3동
R00038,35.778085,127.100754,전주 데모도로,전북특별자치도,전주시 완산구,삼천3동
R00039,35.779927,127.10576,전주 데모도로,전북특별자치도,전주시 완산구,삼천3동
R00040,35.785713,127.108003,전주 데모도로,전북특별자치도,전주시 완산구,삼천3동
