date,station_id,station_name,lat,lon,avg_temp,min_temp,max_temp,precipitation,snowfall,humidity
2026-01-01,JB01,전주,35.8242,127.148,-0.28,-5.28,4.72,20.64,1.5,82
2026-01-02,JB01,전주,35.8242,127.148,1.27,-3.73,6.27,4.01,0.8,77
2026-01-03,JB01,전주,35.8242,127.148,3.2,-1.8,8.2,0.28,0.1,72
2026-01-01,JB02,군산,35.9677,126.7366,-1.49,-6.49,3.51,20.64,1.5,82
2026-01-02,JB02,군산,35.9677,126.7366,-0.97,-5.97,4.03,5.84,0.8,77
2026-01-03,JB02,군산,35.9677,126.7366,5.16,0.16,10.16,0.75,0.1,72
2026-01-01,JB03,익산,35.9483,126.9576,0.46,-4.54,5.46,18.4,1.5,82
2026-01-02,JB03,익산,35.9483,126.9576,1.67,-3.33,6.67,5.41,0.8,77
2026-01-03,JB03,익산,35.9483,126.9576,1.68,-3.32,6.68,1.76,0.1,72
2026-01-01,JB04,남원,35.4164,127.3904,-1.43,-6.43,3.57,19.77,1.5,82
2026-01-02,JB04,남원,35.4164,127.3904,0.81,-4.19,5.81,6.54,0.8,77
2026-01-03,JB04,남원,35.4164,127.3904,2.82,-2.18,7.82,1.85,0.1,72
2026-01-01,JB05,정읍,35.5699,126.856,-1.51,-6.51,3.49,18.58,1.5,82
2026-01-02,JB05,정읍,35.5699,126.856,1.63,-3.37,6.63,5.21,0.8,77
2026-01-03,JB05,정읍,35.5699,126.856,3.23,-1.77,8.23,0.51,0.1,72
