출발영업소명,도착영업소명,도착지방향총교통량,도착지방향1종교통량,도착지방향2종교통량,도착지방향3종교통량,도착지방향4종교통량,도착지방향5종교통량,KPRG_ESAL,risk_score
익산,남논산상,119177,79115,3757,8336,10420,15526,118570.6543,100.0
전주,남논산상,157213,121131,2024,18768,4679,7571,73560.7288,62.0
상관,광양,16865,3572,51,87,1400,11662,60574.796899999994,51.1
군산,풍세상,81254,64928,780,5515,3366,4755,40207.9834,33.9
상관,오수,93757,79401,1060,3301,1476,6064,37987.1163,32.0
상관,동순천,56836,46996,456,1010,1342,6021,34522.0779,29.1
서전주,남논산상,117847,106383,1142,2602,2721,2200,22664.6463,19.1
선운산,목포,26083,18290,669,1382,3472,1908,22060.088200000002,18.6
삼례,남논산상,31065,24531,456,666,1644,2967,20415.6849,17.2
상관,동광양,11325,6602,36,104,825,3510,19622.986399999998,16.5
태인,남논산상,24967,17685,563,1419,3368,1435,19469.2877,16.4
완주,동순천,11767,6924,126,446,657,3455,19240.1351,16.2
완주,소양,27537,20769,799,1533,1388,2358,17763.3542,15.0
완주,서부산,9842,5323,122,315,920,2988,17687.0858,14.9
소양,완주,23005,17132,626,1500,1242,1961,15301.24,12.9
완주,광양,3849,521,15,50,265,2978,15204.5188,12.8
서전주,광주,106452,95292,2532,2691,1568,1232,14811.3573,12.5
동군산,목포,24276,19905,227,486,785,2421,14771.2292,12.5
완주,남논산상,60080,54379,503,744,590,2380,14352.0916,12.1
선운산,부안,9411,5415,178,675,505,2442,14168.041599999999,11.9
동군산,무안,5007,1830,28,100,349,2631,13869.910899999999,11.7
김제,전주,28263,22670,420,566,2492,1015,13633.146,11.5
부안,선운산,9089,5388,99,682,374,2349,13288.3501,11.2
전주,유성,40870,33258,430,4251,345,1481,13248.5669,11.2
동군산,광주,44820,38945,1281,606,733,2008,13070.8607,11.0
완주,산인,18194,13742,285,775,1320,1632,13039.6876,11.0
완주,현풍,4227,1314,45,107,201,2523,12890.3049,10.9
전주,김제,27472,22150,415,603,2266,965,12710.6773,10.7
완주,북부산,7000,4078,86,115,353,2266,12166.0026,10.3
동군산,무창포,25512,20470,583,1591,474,1780,12070.1274,10.2
