민원일자,민원위치,민원내용,위도,경도
2018-01-06,전라북도 군산시 임피면 영창리 831-2번지 일원 (지방도 718호선),지방도 718호선 대령마을 부근 가상과속방지턱 설치 관련 진행상황 요청,35.971774,126.8770854
2018-01-09,전라북도 고창군 해리면 고성리 일원 (국지도15호선),회전교차로(송산교차로)설치 요청 건 진행사항 문의,35.4463684,126.5532242
2018-02-18,전라북도 순창군 유등면 창신리 272-9번지 일원 (지방도 730호선),과속방지턱 설치요청,35.3659688,127.1602037
2018-04-05,전라북도 무주군 적상면 북창리 산 22-1(지방도 727호선),주유소 앞 도로 파임으로 통행차량 안전사고 위험,35.9771719,127.7027465
2018-04-07,전라북도 익산시 황등면 동연리 646-5,황등농기계 앞 도로 포터홀 2개소,36.0004141,126.9293167
2018-04-09,전라북도 완주군 동상면 대아리 산1-5 (지방도 722호선),도로에 구멍이 있어 위험해 보임,35.9776451,127.2812359
2018-04-10,전라북도 진안군 성수면 신기리 258-2 (지방도 721호선),도로절개하고 배수암거를 매립한 후 노면 복구를 하였으나 침하로 단차가 심하여 차량파손 및 눈 비올 때 차가 미끄러지고 조향장치 파손이 우려됨,35.6733629,127.3224692
2018-04-25,전라북도 익산시 망성면 신작리 512-3 (지방도799)외 8건,도로보수 요청,36.1371301,127.0204483
2018-05-04,전라북도 고창군 고창읍 주곡리 369-3 (국지도 15호선),교통사고 발생에 따른 회전교차로 설치 요청,35.4351808,126.6725371
2018-05-18,전라북도 임실군 신덕면 신흥리 380-1외 2건,도로보수 요청,35.6742347,127.1607964
2018-05-28,전라북도 남원시 주천면 호기리 (지방도730호선),도로함몰,35.3970225,127.4292002
2018-07-20,전라북도 완주군 삼례읍 삼례리 898-1 (지방도 799호선),도로보수 요청,35.9116181,127.0747058
2018-07-31,전라북도 고창군 성내면 신성리 167-3번지 일원 (지방도 747호선),과속방지턱 설치요청,35.5439802,126.7401302
2018-08-06,전라북도 완주군 상관면 신리 723-9번지 일원 (지방도 749호선),과속방지턱 설치요청,35.7658041,127.20462
2018-08-10,전라북도 익산시 함열읍 석매리 147-2번지 일원 (지방도 723호선),과속방지턱 제거요청,36.0430506,126.9655197
2018-08-14,전라북도 부안군 상서면 용서리 219번지 일원 (지방도 736호선),과속방지턱 설치요청,35.6916521,126.67674
2018-09-08,전라북도 남원시 산내면 대정리 630-4,도로보수 요청,35.4212651,127.6269028
2018-09-28,전라북도 완주군 봉동로 644 일원 (지방도 799호선),포트홀 사고로 인한 국가배상신청 및 보험처리 가능여부 회신,35.9670581,127.1289216
2018-10-10,"김제 만경, 김제 청하 (지방도 711, 712호선 일부구간)",도로파손으로 인한 보수요청,35.8036079,126.8808872
2018-10-29,"전라북도 익산시 웅포면 송청리 70-3, 21-16 (지방도 724호선)",도로보수 요청,36.064414,126.8769122
2018-11-05,전라북도 완주군 비봉면 소농리 용동마을 일원 (지방도 741호선),포트홀로 인한 차량 파손 보상 요청,35.980684,127.15537
2018-11-22,전라북도 군산시 옥서면 옥봉리 1338-1 구호촌 회전교차로 (지방도 709호선),회전교차로 반사경 등 고장으로 야간사고 위험,35.9170246,126.6436604
2018-12-02,전라북도 익산시 황등면 신기리 746-1번지 일원 (지방도 722호선),과속방지턱 개선요청,36.001244,126.9200419
2019-01-03,전라북도 익산시 망성면 장선리 136-1,망성초등학교 앞 도로가 파손되고 침하되어 우천시 물이 고이며 동절기 주변 도로 결빙되어 교통사고 발생 우려로 아스콘 포장 요청,36.1209452,127.0294961
2019-01-17,전라북도 완주군 화산면 종리 800번지 일원,과속방지턱 설치요청,36.0010057,127.2265967
2019-01-17,전라북도 임실군 삼계면 후천리 559-4번지 일원,과속방지턱 설치요청,35.4874159,127.2657403
2019-02-25,전라북도 익산시 함라면 다망리 1481-1 (지방도 722호선),도로보수 요청,36.0026088,126.9181754
2019-03-29,전라북도 군산시 옥서면 옥봉리 1314-1 (지방도 709호선),"도로에 인도, 과속방지턱이 없어 사고예방을 위한 설치요청",35.9239115,126.6429079
2019-04-02,"전라북도 완주군 동상면 동상주천로 566, 518",과속차량으로 인한 사고위험이 있어 과속방지턱 설치요청,35.9350385,127.3323356
2019-04-20,전라북도 군산시 나포면 옥곤리 912-5 (하구식당 인근),과속방지턱 설치요청,36.0327347,126.8327873
2019-04-20,전라북도 군산시 옥서면 선연리 2145-1번지 일원,"과속방지턱 보수요청(도색벗겨짐, 방지턱 높이)",35.9234517,126.6298743
2019-04-20,전라북도 정읍시 신태인읍 신태인리 152-8 (신태인 전통시장 인근),과속방지턱 설치요청,35.6858442,126.8870845
2019-05-13,전라북도 김제시 금산면 청도리 유각마을 인근,"속도저감시설(과속방지턱, 과속카메라 등) 설치요청",35.7369164,127.0442558
2019-05-29,전라북도 부안군 상서면 장동리 719 인근 (고인돌농원),과속방지턱 설치일정 문의,35.6994672,126.6702057
2019-07-03,전라북도 부안군 부안읍 석정로 262,회전교차로 설치 제안(부안군 부안읍 시내버스터미널사거리),35.7294081,126.7364213
2019-07-12,전라북도 남원시 보절면 괴양리 829-2 (지방도 721호선),교통안전표지판(과속방지턱) 보수 요청,35.4889216,127.4021775
2019-07-18,"전라북도 부안군 부안읍 선은리 674-1, 부안읍 봉덕리 574-79(시내버스터미널사거리)",도로균열 및 도로파손 보수요청,35.726995,126.736856
2019-07-18,청하면 행정복지센터 ~ 군산 방향 (지방도 711호선 일부 구간),포트홀 및 과속방지턱 보수 요청,35.9676772,126.7366293
2019-07-18,국립축산과학원 앞 (지방도 716호선 일부 구간),도로 노면 파손으로 인한 보수요청,35.8240874,127.0609753
2019-07-23,완주 봉동 ~ 익산방향 (지방도 799호선 일부 구간),도로파손으로 인한 보수요청,35.9369713,127.1621328
2019-07-30,전라북도 임실군 강진면 갈담리 582 (지방도717호선),포트홀 보수요청,35.5260488,127.1617047
2019-08-05,"전라북도 정읍시 이평면 두지리 산57 (지방도705, 이평주유소 앞)",포트홀 보수요청,35.6529022,126.8394735
2019-08-05,전라북도 완주군 이서면 금평리 820 인근 (지방도 716호선),도로 노면 파손으로 인한 보수요청,35.8186187,127.0571039
2019-08-07,전라북도 전주시 덕진구 중동 838-1 (지방도 716호선 일부 구간),도로파임 현상으로 인한 사고위험이 있어 보수요청,35.8293872,127.1343073
2019-08-07,전라북도 완주군 이서면 금평리 808-30 (지방도 716호선 일부 구간),아스팔트 도로불량으로 인한 보수 요청,35.8186187,127.0571039
2019-08-07,전라북도 완주군 이서면 금평리 820 (지방도 716호선 일부 구간),도로패임으로 인한 보수 요청,35.8186187,127.0571039
2019-08-07,전라북도 전주시 덕진구 중동 838-1 (지방도 716호선 일부 구간),아스팔트 도로 파손으로인한 보수요청,35.8329444,127.0621134
2019-08-08,전라북도 익산시 금마면 동고도리 99-4 (금마교차로 ~ 지방도 722호선),포트홀 보수요청,35.9873728,127.0571165
2019-08-08,전라북도 덕진구 중동 838-1 (지방도 716호선 일부 구간),도로표면 상태 불량으로 사고위험이 있어 보수 요청,35.8293872,127.1343073
2019-08-08,전라북도 완주군 이서면 갈산리 703 (지방도 716호선 일부 구간),도로표면 상태 불량으로 사고위험이 있어 보수요청,35.8372246,127.0467971
2019-08-16,완주 봉동 ~ 익산ic 방향(sk주유소 인근),도로요철로 인한 사고위험이 있어 보수요청,35.9892001,127.0835856
2019-08-20,전라북도 김제시 황산면 남산리 (지방도 712호선 일부 구간),포트홀 보수 요청,35.7713608,126.968976
2019-08-27,전라북도 김제시 청하면 장산리 762-8 (지방도 711호선 일부 구간),포트홀 보수요청,35.8908188,126.8330652
2019-08-29,전라북도 순창군 풍산면 유정리 728 (지방도 730호선 일부 구간),도로파손으로 인한 보수요청,35.3209799,127.1212369
2019-09-17,전라북도 완주군 이서면 용서리 124-3 (지방도 716호선 일부 구간),도로 노면상태불량에 따른 보수요청,35.820582,127.0158244
2019-09-17,전라북도 순창군 구림면 주민자치센터 앞 (지방도 729호선 일부 구간),포트홀 보수요청,35.4529885,127.1023401
2019-09-19,전라북도 김제시 성덕면 대석리 218-20 (지방도 711호선 일부 구간),포트홀 보수요청,35.8013979,126.8052709
2019-09-24,전라북도 완주시 이서지구 덧씌우기 사업구간 내 (지방도 716호선),도로포장 공사로 인한 교통 병목현상 불편 호소,35.891275,127.253895
2019-09-25,전라북도 김제시 용지면 부교리 일원 (지방도 716호선 일부 구간),도로파손으로 인한 보수요청,35.8221536,126.9850007
2019-10-17,전라북도 김제시 용지면 부교리일원 (지방도 716호선 일부구간),도로파손으로 인한 보수요청,35.8221536,126.9850007
2019-10-31,전라북도 군산시 옥구읍 어은리 209-4(동마산마을),과속방지턱 설치요청,35.9202704,126.6761508
2019-11-04,전라북도 남원시 인월면 상우리 384-2 (국지도60호선 일부 구간 내),도로파손으로 인한 사고위험이 있어 보수요청,35.4571977,127.6085295
2019-11-04,전라북도 남원시 인월면 상우리 385-2 (국지도60호선 일부 구간 내),도로파손으로 인한 사고위험이 있어 보수요청,35.4576974,127.6083607
2019-11-11,"전라북도 진안군 주천면 신양리 산119-4, 주천면 대불리 산195-6",포트홀로인한 사고위험이 있어 보수요청,35.9790957,127.3983892
2019-11-24,전라북도 정읍시 고부면 관청리 (지방도 747호선 일부 구간),도로파손으로 인한 보수요청,35.6188361,126.7402691
2019-11-26,전라북도 순창군 동계면 이동리 산97-4 일원,과속방지턱 설치요청,35.4686335,127.2601761
2019-11-27,전라북도 군산시 대야면 복교리 288-2 번지일원,과속방지턱 설치요청,35.9154404,126.8363012
2019-11-28,전라북도 김제시 성덕면 대석리 (지방도 711호선 일부구간),도로파손으로 인한 보수요청,35.8140096,126.8202754
2019-12-02,전라북도 김제시 만경읍 만경로 1203 일원,과속방지턱 설치요청,35.8854901,126.827659
2019-12-03,전라북도 군산시 서수면 서수리 885-8번지 일원,도색 및 안전표지판이 시공되지 않은 과속방지턱의 적법 여부,35.9782852,126.8766561
2019-12-11,전라북도 장수군 장수읍 용계리 923번지일원,과속방지턱 설치요청,35.6190258,127.4882227
2019-12-11,전라북도 진안군 정천면 봉학리76-1 (정천휴게소 앞 교차로),정천휴게소 앞 교차로 시설 개선 요구,35.8738869,127.4427489
2019-12-13,전라북도 익산시 망성면 신작리 (지방도 799호선 일부구간),포트홀 보수 요청,36.1334328,127.0249485
2019-12-15,전라북도 익산시 용안면 교동리 210-68번지 일원,지방도와 마을 진입로간 단차 조정 및 횡단보도 재도색 요청,36.1181528,126.9526244
2019-12-26,전라북도 김제시 황산면 쌍감리 (지방도 714호선 일부구간),봉월IC교(진·출입부) 접속부 단차로 인한 사고위험,35.7786907,126.9520194
2020-01-10,전라북도 김제시 황산면 봉월리 (지방도 735호선 일부구간),포트홀 보수 요청,35.7903544,126.9594842
2020-01-13,전라북도 익산시 웅포면 송천리 (지방도 724호선 일부구간),포트홀 보수 요청,36.07956,126.8997724
2020-02-04,전라북도 익산시 웅포면 송천리 645-2번지,과속방지턱 표지판 보수 요청,36.0818639,126.8862483
2020-02-10,전라북도 정읍시 덕천면 신월리 일원 (지방도 705호선 신월삼거리),정읍 이평 신월삼거리 회전교차로 개선 요구,35.64046,126.8408401
2020-02-11,김제 IC 사거리 (지방도 714호선 일부구간),포트홀 발생으로 인한 사고위험이 있어 보수요청,35.8036079,126.8808872
2020-02-11,전라북도 군산시 회횐면 증석리 일원 (지방도 744호선 일부구간),도로노면 불량으로 인한 보수 요청,35.9101577,126.7909295
2020-02-11,완주 삼례시장 사거리 ~ 삼례IC 일원 (지방도 799호선 일부구간),포트홀 발생으로 인한 사고위험이 있어 보수요청,35.9093122,127.0716446
2020-02-24,"정읍 산외 오공, 신배교 (지방도 799호선 일부구간)",칠보 시산교차로 ~ 신촌교차로 양방향 포장공사를 시행하였으나 포장면 단차로 인한 보수요청,35.6214371,127.0421207
2020-02-25,전라북도 완주군 봉동읍 장구리 90-8 (지방도 799호선 일부구간),포트홀 발생으로 인한 사고위험이 있어 보수요청,35.9724309,127.1247336
2020-03-07,전라북도 완주군 삼례읍 신금리 431-12번지 일원,도로 침하 보수요청,35.9196433,127.0904116
2020-03-18,전라북도 완주군 화산면 우월리 (지방도 740호선 일부구간),포트홀 보수 요청,36.0508863,127.1715291
2020-03-20,전라북도 군산시 옥구읍 어은리 5-71번지 일원,과속방지턱 보수요청,35.8993821,126.6857535
2020-03-23,전라북도 김제시 만경읍 지평선로 2167 일원,과속방지턱 설치요청,35.8565406,126.8103494
2020-03-28,전라북도 부안군 주산면 소산리 327-1,과속방지턱 설치요청,35.6509957,126.7059028
2020-04-29,전라북도 임실군 덕치면 가곡리 829 일원 (지방도 717호선),도로 구간내 급커브에 따른 사고 위험으로 도로 선형개량,35.5054342,127.1846145
2020-05-04,전라북도 순창군 순창읍 교성리 (지방도 729호선 일부구간),포트홀 보수 요청,35.3613195,127.1277042
2020-05-12,전라북도 군산시 회현면 금광리 1249-722,과속방지턱 설치요청,35.895457,126.7392001
2020-05-12,전라북도 진안군 정천면 월평리 239-2,도로공사 장기로 안전운전 방해 및 조기공사 추진요청,35.8390214,127.4449206
2020-05-14,전라북도 익산시 함열읍 와리 814 (지방도 724호선 일부구간),포트홀 보수요청,36.0732998,126.9608563
2020-05-16,전라북도 완주군 이서면 상개리 일원 (지방도 713호선 일부구간),도로노면 불량으로 인한 보수 요청,35.8198549,127.0332013
2020-05-18,전라북도 군산시 옥구읍 선제리 93-26번지 일원,과속방지턱 설치요청,35.9233674,126.6876736
2020-05-18,전라북도 장수군 장수읍 용계리 1211-3 인근,주택 진입로 단차 보수요청,35.6178652,127.4853445
2020-05-21,관촌교차로 (지방도 745호선 일부구간),포장 보수요청,35.85584771,126.8128646
2020-05-22,전라북도 군산시 임피면 술산리 758-5번지 인근,과속방지턱 보수요청,35.9584102,126.8703839
2020-05-26,전라북도 부안군 백산면 덕신리 977-4번지 일원,과속방지턱 설치요청,35.7178242,126.7828588
2020-05-27,전라북도 익산시 여산면 제남리 281번지 일원,과속방지턱 설치요청,36.0588583,127.0803897
2020-06-08,전라북도 장수군 장수읍 용계리 923번지 일원,과속방지턱 설치요청,35.6190258,127.4882227
2020-06-17,전라북도 김제시 죽산면 종신리 652-1번지 일원,과속방지턱 설치요청,35.7990078,126.8050124
2020-06-22,익산 금마 서고도리 (지방도 722호선 일부구간),도로 보수요청,35.9915083,127.0422877
