노선명,구간명,평균일교통량(AADT),평일교통량,,,,,,,주말교통량,,,,,,
,,,승용차,버스,소형화물,중형화물,대형화물,계,비율,승용차,버스,소형화물,중형화물,대형화물,계,비율
국도1호선,정읍시-태인면(0115-01),"23,142","18,816",419,"4,155",768,76,"24,234",104.7,"17,328",218,"2,588",242,26,"20,402",88.2
 ,김제IC-전주시(0116-02),"30,038","23,302",501,"6,494",804,66,"31,167",103.8,"21,792",395,"4,707",287,23,"27,204",90.6
 ,전주시-삼례읍(0120-01),"20,988","16,883",193,"4,156","1,555",152,"22,939",109.3,"13,406",101,"1,971",562,53,"16,093",76.7
국도13호선,대강면-동계면(1317-00),"1,423",958,28,362,74,11,"1,433",100.7,"1,088",26,244,38,5,"1,401",98.4
 ,동계면-오수면(1317-02),611,329,33,199,57,8,626,102.2,374,28,142,28,3,575,94.3
 ,장수읍-천천면(1319-00),"2,735","2,131",57,691,56,6,"2,941",107.5,"1,656",45,480,32,4,"2,217",81.0
 ,천천면-안천면(1320-00),622,406,15,209,10,0,640,103.1,404,11,154,5,0,574,92.3
 ,안천면-금산읍(1321-00),"1,005",645,17,240,59,6,967,96.2,859,16,198,24,3,"1,100",109.4
국도17호선,오수면-임실읍(1711-02),"9,813","6,540",236,"2,720",630,64,"10,190",103.8,"6,493",196,"1,850",298,30,"8,867",90.4
 ,임실읍-관촌면(1712-03),"16,508","12,822",292,"3,514",580,53,"17,261",104.6,"11,716",257,"2,380",249,17,"14,619",88.6
 ,전주시-봉동읍(1714-01),"20,295","17,223",374,"2,812",681,123,"21,213",104.5,"15,556",259,"1,872",267,39,"17,993",88.7
국도19호선,식정동-장수읍(1909-05),"3,077","2,186",93,651,173,13,"3,116",101.3,"2,398",77,435,59,6,"2,975",96.7
 ,장계리-적상면(1911-02),"5,460","3,930",174,913,168,37,"5,222",95.6,"4,876",186,849,115,33,"6,059",111.0
 ,적상면-무주읍(1912-00),"10,589","8,234",241,"1,705",267,82,"10,529",99.4,"8,947",208,"1,383",147,56,"10,741",101.4
국도21호선,인계면-쌍치면(2101-08),"1,306",848,35,461,52,2,"1,398",107.0,694,30,332,20,1,"1,077",82.5
 ,쌍치면-정읍시(2101-13),"7,689","6,331",128,935,83,2,"7,479",97.3,"7,382",109,678,45,1,"8,215",106.9
 ,오봉리-상관면(2101-16),"18,776","14,177",192,"3,224","1,126",435,"19,154",102.0,"15,045",129,"2,017",502,130,"17,823",94.9
 ,전주시-공덕면(2115-01),"59,751","46,942",836,"9,325","3,751","1,154","62,008",103.8,"46,892",587,"4,766","1,393",450,"54,088",90.5
국도22호선,정읍IC-흥덕면(2202-01),"11,528","8,483",255,"2,126",715,68,"11,647",101.0,"9,193",245,"1,418",340,34,"11,230",97.4
 ,흥덕면-해리면(2204-00),"4,025","2,864",114,710,79,3,"3,770",93.7,"4,023",112,501,30,1,"4,667",116.0
 ,해리면-법성면(2205-03),"3,371","2,263",88,798,125,9,"3,283",97.4,"2,856",78,591,67,3,"3,595",106.7
국도23호선,고창읍-흥덕면(2313-02),"10,400","7,384",304,"2,931",355,13,"10,987",105.7,"6,454",253,"2,032",179,9,"8,927",85.8
 ,흥덕면-부안읍(2315-02),"2,387","1,351",39,801,198,3,"2,392",100.2,"1,641",34,631,65,3,"2,374",99.5
 ,상서면-부안읍(2316-00),"6,024","4,593",130,"1,279",254,17,"6,273",104.1,"4,352",98,825,116,11,"5,402",89.7
 ,행안면-김제시(2317-00),"13,097","10,334",271,"2,099",302,19,"13,025",99.5,"11,578",199,"1,344",147,10,"13,278",101.4
국도24호선,순창읍-적성면(2411-02),"4,593","3,288",111,996,338,7,"4,740",103.2,"3,344",99,665,107,4,"4,219",91.9
 ,대강면-남원시(2411-03),"2,664","1,847",67,763,71,4,"2,752",103.3,"1,833",65,521,25,2,"2,446",91.8
국도26호선,유강리-전주IC(2605-00),"4,835","4,044",124,"1,143",228,21,"5,560",115.0,"2,339",69,518,80,10,"3,016",62.4
 ,전주시-소양면(2606-00),"24,185","19,780",431,"3,284",546,84,"24,125",99.8,"21,290",387,"2,338",287,34,"24,336",100.6
 ,진안읍-천천면(2607-02),"2,705","1,895",115,775,56,1,"2,842",105.1,"1,674",104,560,22,1,"2,361",87.3
 ,천천면-장계리(2609-01),"2,325","1,552",69,750,80,7,"2,458",105.7,"1,389",61,507,30,3,"1,990",85.6
 ,장계리-안의면(2609-02),"2,445","1,677",28,705,139,6,"2,555",104.5,"1,599",23,506,37,3,"2,168",88.7
국도27호선,옥과면-순창읍(2704-02),"3,293","2,258",15,645,285,36,"3,239",98.4,"2,751",13,554,96,14,"3,428",104.1
 ,갈담리-구이면(2702-02),"17,380","13,716",111,"2,268",379,33,"16,507",95.0,"17,727",104,"1,570",156,16,"19,573",112.6
 ,익산시-성산면(2711-00),"19,917","16,749",262,"2,722",721,118,"20,572",103.3,"16,149",125,"1,613",331,56,"18,274",91.8
국도29호선,정읍시-화호리(2909-01),"7,397","6,045",135,"1,296",216,38,"7,730",104.5,"5,600",87,772,89,14,"6,562",88.7
 ,김제시-대야면(2912-01),"10,497","7,958",119,"1,865",731,155,"10,828",103.2,"7,932",65,"1,235",357,76,"9,665",92.1
 ,개정면-성산면(2914-00),"19,607","14,899",384,"2,837","1,730",432,"20,282",103.4,"15,264",259,"1,681",562,150,"17,916",91.4
국도30호선,보안면-변산면(3001-00),"5,582","3,719",97,"1,075",89,3,"4,983",89.3,"5,896",123,"1,008",52,3,"7,082",126.9
 ,변산면-행안면(3003-00),"10,351","7,945",122,"1,247",285,27,"9,626",93.0,"10,899",111,982,163,16,"12,171",117.6
 ,행안면-백산면(3005-03),"5,885","4,160",74,"1,199",460,46,"5,939",100.9,"4,752",47,736,195,16,"5,746",97.7
 ,갈담리-임실읍(3011-03),"2,081","1,566",31,416,60,5,"2,078",99.9,"1,743",21,294,24,4,"2,086",100.3
 ,월평리-진안읍(3011-01),"2,595","1,990",54,427,87,12,"2,570",99.0,"2,236",44,323,50,7,"2,660",102.5
 ,진안읍-안천면(3015-00),"1,984","1,399",61,486,90,2,"2,038",102.7,"1,428",55,328,37,1,"1,849",93.2
 ,무주읍-설천면(3017-00),"3,618","2,590",95,862,121,3,"3,671",101.5,"2,743",84,617,39,2,"3,485",96.3
