road_point_id,lat,lon,road_name,city,total_sewer_length,old_sewer_length,sewer_old30_ratio,average_sewer_age,sewer_match_status,has_nearby_repair,repair_id,last_repair_date,repair_type,distance_to_last_repair_m,nearby_repair_count,date,avg_temp,min_temp,max_temp,precipitation,snowfall,humidity,pothole_label
R00103,35.766707,127.205112,전주 데모도로,전주시,2081706.65,842.95,0.0004049321742811,7.742488395563824,matched,0,,,,,0,2026-07-20,25.542,17.05,36.34,23.06,0.0,66.218,0
R00436,35.415645,127.440729,남원 데모도로,남원시,670188.0,287953.6,0.4296609309626552,17.276260308101918,matched,0,,,,,0,2024-10-06,9.98,4.46,16.79,14.09,0.0,67.586,0
R00271,36.021575,126.682963,군산 데모도로,군산시,1384801.76,612246.21,0.442118307244208,14.853572251212228,matched,0,,,,,0,2025-06-16,26.226,20.4,35.22,16.71,0.0,61.164,0
R00107,35.781744,127.189963,전주 데모도로,전주시,2081706.65,842.95,0.0004049321742811,7.742488395563824,matched,0,,,,,0,2025-02-24,5.242,-5.58,14.35,0.0,2.79,56.315999999999995,0
R00072,35.759166,127.146231,전주 데모도로,전주시,2081706.65,842.95,0.0004049321742811,7.742488395563824,matched,0,,,,,0,2025-01-01,-1.8240000000000003,-9.51,3.0,3.56,1.02,51.948,0
R00021,35.825393,127.165179,전주 데모도로,전주시,2081706.65,842.95,0.0004049321742811,7.742488395563824,matched,0,,,,,0,2026-02-24,5.612,-0.55,12.76,22.32,0.71,68.096,0
R00615,35.499999,126.855537,정읍 데모도로,정읍시,845508.0,326882.92,0.3866112680187532,9.4307279162049,matched,0,,,,,0,2025-09-26,13.719999999999999,4.03,22.48,16.73,0.0,70.096,0
R00122,35.833722,127.138737,전주 데모도로,전주시,2081706.65,842.95,0.0004049321742811,7.742488395563824,matched,0,,,,,0,2026-04-12,14.184000000000001,6.32,20.98,0.0,0.0,58.14,0
R00467,35.442511,127.416527,남원 데모도로,남원시,670188.0,287953.6,0.4296609309626552,17.276260308101918,matched,0,,,,,0,2025-07-25,25.228,18.08,32.83,6.69,0.0,65.046,0
R00215,35.936584,126.736765,군산 데모도로,군산시,1384801.76,612246.21,0.442118307244208,14.853572251212228,matched,0,,,,,0,2026-07-23,23.1,16.23,31.38,14.530000000000001,0.0,59.636,0
R00331,35.9748,126.983332,익산 데모도로,익산시,1404068.0,1069912.0,0.7620086776423934,10.189728749446369,matched,0,,,,,0,2025-07-02,24.726,18.16,31.21,18.169999999999998,0.0,63.05999999999999,0
R00459,35.415242,127.388654,남원 데모도로,남원시,670188.0,287953.6,0.4296609309626552,17.276260308101918,matched,0,,,,,0,2026-04-28,19.369999999999997,11.71,27.45,0.0,0.0,53.717999999999996,0
R00088,35.835885,127.1478,전주 데모도로,전주시,2081706.65,842.95,0.0004049321742811,7.742488395563824,matched,0,,,,,0,2025-08-16,19.875999999999998,12.01,31.79,8.19,0.0,61.42999999999999,0
R00373,36.023019,126.958074,익산 데모도로,익산시,1404068.0,1069912.0,0.7620086776423934,10.189728749446369,matched,0,,,,,0,2025-09-04,16.456,9.53,22.57,0.0,0.0,54.684000000000005,1
R00100,35.893826,127.148815,전주 데모도로,전주시,2081706.65,842.95,0.0004049321742811,7.742488395563824,matched,0,,,,,0,2025-04-08,13.232,6.31,19.13,3.42,0.0,61.668000000000006,0
R00664,35.572029,126.855151,정읍 데모도로,정읍시,845508.0,326882.92,0.3866112680187532,9.4307279162049,matched,0,,,,,0,2025-07-28,23.758,15.4,33.71,3.39,0.0,57.048,0
R00131,35.863854,127.10724,전주 데모도로,전주시,2081706.65,842.95,0.0004049321742811,7.742488395563824,matched,0,,,,,0,2026-02-18,4.684,-1.99,14.4,17.59,0.0,65.59200000000001,0
R00662,35.563211,126.861169,정읍 데모도로,정읍시,845508.0,326882.92,0.3866112680187532,9.4307279162049,matched,0,,,,,0,2026-02-22,4.523999999999999,-1.51,11.1,9.78,0.0,48.736000000000004,0
R00309,35.898125,126.907981,익산 데모도로,익산시,1404068.0,1069912.0,0.7620086776423934,10.189728749446369,matched,0,,,,,0,2026-01-29,2.5799999999999996,-8.55,11.1,18.8,3.07,65.388,1
R00344,35.881631,126.957415,익산 데모도로,익산시,1404068.0,1069912.0,0.7620086776423934,10.189728749446369,matched,0,,,,,0,2026-03-12,8.274000000000001,2.27,17.29,48.99,0.0,66.502,1
R00492,35.407522,127.389588,남원 데모도로,남원시,670188.0,287953.6,0.4296609309626552,17.276260308101918,matched,0,,,,,0,2025-02-17,4.242,-4.37,12.28,0.0,0.0,60.605999999999995,0
R00414,35.416024,127.335612,남원 데모도로,남원시,670188.0,287953.6,0.4296609309626552,17.276260308101918,matched,0,,,,,0,2024-09-28,10.866,5.46,17.68,0.0,0.0,57.418000000000006,0
R00386,35.928879,126.975814,익산 데모도로,익산시,1404068.0,1069912.0,0.7620086776423934,10.189728749446369,matched,0,,,,,0,2026-02-20,4.668,-1.31,11.53,0.0,1.04,62.7,1
R00192,35.983184,126.751861,군산 데모도로,군산시,1384801.76,612246.21,0.442118307244208,14.853572251212228,matched,0,,,,,0,2025-09-19,12.801999999999998,6.78,19.61,0.0,0.0,63.528,0
R00277,35.947756,126.896589,익산 데모도로,익산시,1404068.0,1069912.0,0.7620086776423934,10.189728749446369,matched,0,,,,,0,2026-07-23,23.1,16.23,31.38,14.530000000000001,0.0,59.636,0
R00161,35.966337,126.774117,군산 데모도로,군산시,1384801.76,612246.21,0.442118307244208,14.853572251212228,matched,0,,,,,0,2025-12-25,-0.7779999999999999,-10.2,5.33,9.48,1.44,57.198,0
